You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,0.067735, Average Y value:,1.658036, Average Z value:,0.425056, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,0.526338, Max Z values:,0.138131,-0.062199,,,1.039576
Average X value:,0.07053, Average Y value:,1.68181, Average Z value:,0.426479, Max X values:,0.138131,-0.062199, Max Y values:,2.359824,0.743881, Max Z values:,0.138131,-0.062199,,,1.05342
Average X value:,0.075865, Average Y value:,1.689715, Average Z value:,0.421541, Max X values:,0.138131,0.025697, Max Y values:,2.359824,0.901972, Max Z values:,0.138131,0.025697,,,1.065766
Average X value:,0.074809, Average Y value:,1.678936, Average Z value:,0.410694, Max X values:,0.138131,0.015687, Max Y values:,2.359824,0.810902, Max Z values:,0.138131,0.015687,,,1.075406
Average X value:,0.068034, Average Y value:,1.650784, Average Z value:,0.397943, Max X values:,0.138131,-0.000671, Max Y values:,2.359824,0.737167, Max Z values:,0.138131,-0.000671,,,1.083439
Average X value:,0.060038, Average Y value:,1.608289, Average Z value:,0.385125, Max X values:,0.116523,-0.021791, Max Y values:,2.359824,0.668193, Max Z values:,0.116523,-0.021791,,,1.090026
Average X value:,0.056522, Average Y value:,1.555344, Average Z value:,0.371568, Max X values:,0.116523,-0.044619, Max Y values:,2.359824,0.607276, Max Z values:,0.116523,-0.044619,,,1.093347
Average X value:,0.050723, Average Y value:,1.491882, Average Z value:,0.353421, Max X values:,0.116523,-0.076238, Max Y values:,2.359824,0.535494, Max Z values:,0.116523,-0.076238,,,1.092791
Average X value:,0.040902, Average Y value:,1.416639, Average Z value:,0.330623, Max X values:,0.116523,-0.112861, Max Y values:,2.359824,0.481902, Max Z values:,0.116523,-0.112861,,,1.087538
Average X value:,0.03069, Average Y value:,1.325783, Average Z value:,0.309595, Max X values:,0.116523,-0.121162, Max Y values:,2.359824,0.395837, Max Z values:,0.116523,-0.121162,,,1.079376
Average X value:,0.022084, Average Y value:,1.224348, Average Z value:,0.29154, Max X values:,0.116523,-0.132271, Max Y values:,2.359824,0.302448, Max Z values:,0.116523,-0.132271,,,1.069495
Average X value:,0.011408, Average Y value:,1.116902, Average Z value:,0.274614, Max X values:,0.116523,-0.140939, Max Y values:,2.35372,0.210889, Max Z values:,0.116523,-0.140939,,,1.059488
Average X value:,-0.002759, Average Y value:,1.006556, Average Z value:,0.259678, Max X values:,0.116523,-0.167063, Max Y values:,2.295001,0.146798, Max Z values:,0.116523,-0.167063,,,1.049543
Average X value:,-0.015266, Average Y value:,0.896033, Average Z value:,0.244076, Max X values:,0.116523,-0.167063, Max Y values:,2.141549,0.084539, Max Z values:,0.116523,-0.167063,,,1.03967
Average X value:,-0.026802, Average Y value:,0.789862, Average Z value:,0.229775, Max X values:,0.116523,-0.167063, Max Y values:,1.903742,0.018129, Max Z values:,0.116523,-0.167063,,,1.029854
Average X value:,-0.038601, Average Y value:,0.693231, Average Z value:,0.214967, Max X values:,0.116523,-0.167063, Max Y values:,1.670451,-0.028871, Max Z values:,0.116523,-0.167063,,,1.02007
Average X value:,-0.052377, Average Y value:,0.608021, Average Z value:,0.201141, Max X values:,0.112006,-0.167063, Max Y values:,1.531771,-0.033755, Max Z values:,0.112006,-0.167063,,,1.010825
Average X value:,-0.066538, Average Y value:,0.530574, Average Z value:,0.188158, Max X values:,0.067204,-0.171214, Max Y values:,1.389184,-0.033755, Max Z values:,0.067204,-0.171214,,,1.001941
Average X value:,-0.078319, Average Y value:,0.462992, Average Z value:,0.17733, Max X values:,0.04938,-0.171214, Max Y values:,1.261857,-0.033755, Max Z values:,0.04938,-0.171214,,,0.993687
Average X value:,-0.088897, Average Y value:,0.406415, Average Z value:,0.169041, Max X values:,0.04938,-0.171214, Max Y values:,1.136849,-0.033755, Max Z values:,0.04938,-0.171214,,,0.986231
Average X value:,-0.099536, Average Y value:,0.36168, Average Z value:,0.162724, Max X values:,0.049014,-0.171214, Max Y values:,1.001831,-0.033755, Max Z values:,0.049014,-0.171214,,,0.978083
Average X value:,-0.108234, Average Y value:,0.329671, Average Z value:,0.158634, Max X values:,0.044497,-0.171214, Max Y values:,0.901972,-0.033755, Max Z values:,0.044497,-0.171214,,,0.970308
Average X value:,-0.114277, Average Y value:,0.310236, Average Z value:,0.157181, Max X values:,0.015687,-0.171214, Max Y values:,0.810902,-0.033755, Max Z values:,0.015687,-0.171214,,,0.962189
Average X value:,-0.119691, Average Y value:,0.302789, Average Z value:,0.159519, Max X values:,-0.000671,-0.171214, Max Y values:,0.737167,-0.033755, Max Z values:,-0.000671,-0.171214,,,0.954796
Average X value:,-0.124007, Average Y value:,0.305957, Average Z value:,0.164958, Max X values:,-0.021791,-0.171214, Max Y values:,0.800525,-0.033755, Max Z values:,-0.021791,-0.171214,,,0.949194
Average X value:,-0.125716, Average Y value:,0.321535, Average Z value:,0.170958, Max X values:,-0.044619,-0.171214, Max Y values:,0.979735,-0.033755, Max Z values:,-0.044619,-0.171214,,,0.945694
Average X value:,-0.121644, Average Y value:,0.350949, Average Z value:,0.17885, Max X values:,0.036806,-0.171214, Max Y values:,1.195569,-0.033755, Max Z values:,0.036806,-0.171214,,,0.943832
Average X value:,-0.1162, Average Y value:,0.390154, Average Z value:,0.188335, Max X values:,0.036806,-0.171214, Max Y values:,1.3196,-0.033755, Max Z values:,0.036806,-0.171214,,,0.942443
Average X value:,-0.110334, Average Y value:,0.435769, Average Z value:,0.19989, Max X values:,0.036806,-0.171214, Max Y values:,1.394189,-0.033755, Max Z values:,0.036806,-0.171214,,,0.941244
Average X value:,-0.098138, Average Y value:,0.494836, Average Z value:,0.213703, Max X values:,0.122749,-0.171214, Max Y values:,1.577184,-0.033755, Max Z values:,0.122749,-0.171214,,,0.940491
Average X value:,-0.07946, Average Y value:,0.56923, Average Z value:,0.229616, Max X values:,0.241287,-0.171214, Max Y values:,1.790331,-0.033755, Max Z values:,0.241287,-0.171214,,,0.940876
Average X value:,-0.060135, Average Y value:,0.655997, Average Z value:,0.246762, Max X values:,0.245559,-0.171214, Max Y values:,1.946225,-0.033755, Max Z values:,0.245559,-0.171214,,,0.942603
Average X value:,-0.040939, Average Y value:,0.755918, Average Z value:,0.262614, Max X values:,0.245559,-0.171214, Max Y values:,2.145211,-0.033755, Max Z values:,0.245559,-0.171214,,,0.945163
Average X value:,-0.023622, Average Y value:,0.866502, Average Z value:,0.280437, Max X values:,0.245559,-0.171214, Max Y values:,2.296222,-0.033755, Max Z values:,0.245559,-0.171214,,,0.948622
Average X value:,-0.004169, Average Y value:,0.986309, Average Z value:,0.296808, Max X values:,0.245559,-0.171214, Max Y values:,2.414271,-0.033755, Max Z values:,0.245559,-0.171214,,,0.952939
Average X value:,0.014106, Average Y value:,1.11023, Average Z value:,0.311024, Max X values:,0.245559,-0.171214, Max Y values:,2.449551,-0.033755, Max Z values:,0.245559,-0.171214,,,0.958074
Average X value:,0.030336, Average Y value:,1.230538, Average Z value:,0.32137, Max X values:,0.245559,-0.171214, Max Y values:,2.449551,-0.017152, Max Z values:,0.245559,-0.171214,,,0.963532
Average X value:,0.047287, Average Y value:,1.342147, Average Z value:,0.329158, Max X values:,0.245559,-0.168406, Max Y values:,2.449551,0.037539, Max Z values:,0.245559,-0.168406,,,0.968863
Average X value:,0.063804, Average Y value:,1.440603, Average Z value:,0.337557, Max X values:,0.245559,-0.163645, Max Y values:,2.449551,0.130318, Max Z values:,0.245559,-0.163645,,,0.975348
Average X value:,0.07979, Average Y value:,1.523756, Average Z value:,0.350259, Max X values:,0.245559,-0.163401, Max Y values:,2.449551,0.242141, Max Z values:,0.245559,-0.163401,,,0.982316
Average X value:,0.095007, Average Y value:,1.593212, Average Z value:,0.362309, Max X values:,0.245559,-0.124947, Max Y values:,2.449551,0.361655, Max Z values:,0.245559,-0.124947,,,0.989649
Average X value:,0.108808, Average Y value:,1.645944, Average Z value:,0.371531, Max X values:,0.245559,-0.092596, Max Y values:,2.449551,0.513276, Max Z values:,0.245559,-0.092596,,,0.996582
Average X value:,0.119459, Average Y value:,1.680632, Average Z value:,0.377196, Max X values:,0.245559,-0.092596, Max Y values:,2.449551,0.661967, Max Z values:,0.245559,-0.092596,,,1.003209
Average X value:,0.128408, Average Y value:,1.700183, Average Z value:,0.381902, Max X values:,0.245559,-0.08698, Max Y values:,2.449551,0.800525, Max Z values:,0.245559,-0.08698,,,1.010092
Average X value:,0.132662, Average Y value:,1.706403, Average Z value:,0.384142, Max X values:,0.245559,-0.055973, Max Y values:,2.449551,0.924922, Max Z values:,0.245559,-0.055973,,,1.016008
Average X value:,0.134157, Average Y value:,1.697204, Average Z value:,0.383104, Max X values:,0.245559,-0.026064, Max Y values:,2.449551,0.795764, Max Z values:,0.245559,-0.026064,,,1.021985
Average X value:,0.130971, Average Y value:,1.672117, Average Z value:,0.379155, Max X values:,0.245559,-0.026918, Max Y values:,2.449551,0.693829, Max Z values:,0.245559,-0.026918,,,1.027211
Average X value:,0.125929, Average Y value:,1.635531, Average Z value:,0.373906, Max X values:,0.245559,-0.06818, Max Y values:,2.449551,0.587865, Max Z values:,0.245559,-0.06818,,,1.03263
Average X value:,0.119594, Average Y value:,1.589477, Average Z value:,0.366862, Max X values:,0.245559,-0.122261, Max Y values:,2.449551,0.473112, Max Z values:,0.245559,-0.122261,,,1.035109
Average X value:,0.106, Average Y value:,1.529219, Average Z value:,0.356766, Max X values:,0.245559,-0.149118, Max Y values:,2.449551,0.372032, Max Z values:,0.245559,-0.149118,,,1.036062
