You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,-0.030068, Average Y value:,0.471025, Average Z value:,0.27028, Max X values:,0.206861,-0.17805, Max Y values:,1.56876,-0.064396, Max Z values:,0.206861,-0.17805,,,0.983883
Average X value:,-0.011115, Average Y value:,0.551846, Average Z value:,0.281011, Max X values:,0.206861,-0.156199, Max Y values:,1.774217,-0.064396, Max Z values:,0.206861,-0.156199,,,0.981082
Average X value:,0.010834, Average Y value:,0.645724, Average Z value:,0.291003, Max X values:,0.282793,-0.14045, Max Y values:,1.970274,-0.064396, Max Z values:,0.282793,-0.14045,,,0.978509
Average X value:,0.030196, Average Y value:,0.750241, Average Z value:,0.298047, Max X values:,0.282793,-0.14045, Max Y values:,2.116767,-0.064396, Max Z values:,0.282793,-0.14045,,,0.975265
Average X value:,0.049967, Average Y value:,0.865055, Average Z value:,0.304187, Max X values:,0.282793,-0.14045, Max Y values:,2.257767,-0.064396, Max Z values:,0.282793,-0.14045,,,0.971381
Average X value:,0.071611, Average Y value:,0.987011, Average Z value:,0.30998, Max X values:,0.292437,-0.130196, Max Y values:,2.374718,-0.0423, Max Z values:,0.292437,-0.130196,,,0.967745
Average X value:,0.092181, Average Y value:,1.110004, Average Z value:,0.317378, Max X values:,0.292437,-0.109687, Max Y values:,2.417567,0.004944, Max Z values:,0.292437,-0.109687,,,0.965074
Average X value:,0.110957, Average Y value:,1.230135, Average Z value:,0.325069, Max X values:,0.292437,-0.103827, Max Y values:,2.417567,0.044253, Max Z values:,0.292437,-0.103827,,,0.962738
Average X value:,0.128316, Average Y value:,1.344497, Average Z value:,0.330123, Max X values:,0.292437,-0.073796, Max Y values:,2.417567,0.111152, Max Z values:,0.292437,-0.073796,,,0.960212
Average X value:,0.14374, Average Y value:,1.449759, Average Z value:,0.334145, Max X values:,0.292437,-0.061344, Max Y values:,2.417567,0.184032, Max Z values:,0.292437,-0.061344,,,0.95839
Average X value:,0.159025, Average Y value:,1.543399, Average Z value:,0.337209, Max X values:,0.292437,-0.060612, Max Y values:,2.417567,0.263383, Max Z values:,0.292437,-0.060612,,,0.95793
Average X value:,0.175291, Average Y value:,1.622926, Average Z value:,0.338735, Max X values:,0.292437,-0.060367, Max Y values:,2.417567,0.378014, Max Z values:,0.292437,-0.060367,,,0.960668
Average X value:,0.191192, Average Y value:,1.686291, Average Z value:,0.343295, Max X values:,0.292437,0.001526, Max Y values:,2.417567,0.523164, Max Z values:,0.292437,0.001526,,,0.958456
Average X value:,0.204584, Average Y value:,1.732729, Average Z value:,0.347891, Max X values:,0.292437,0.006409, Max Y values:,2.417567,0.654154, Max Z values:,0.292437,0.006409,,,0.959675
Average X value:,0.2136, Average Y value:,1.764451, Average Z value:,0.351511, Max X values:,0.292437,0.006409, Max Y values:,2.417567,0.758652, Max Z values:,0.292437,0.006409,,,0.960918
Average X value:,0.219807, Average Y value:,1.784521, Average Z value:,0.350937, Max X values:,0.292437,0.006409, Max Y values:,2.417567,0.87072, Max Z values:,0.292437,0.006409,,,0.962663
Average X value:,0.227052, Average Y value:,1.792913, Average Z value:,0.343972, Max X values:,0.292437,0.105414, Max Y values:,2.417567,1.038577, Max Z values:,0.292437,0.105414,,,0.965324
Average X value:,0.227468, Average Y value:,1.783178, Average Z value:,0.334493, Max X values:,0.292437,0.113715, Max Y values:,2.417567,0.922969, Max Z values:,0.292437,0.113715,,,0.968619
Average X value:,0.221669, Average Y value:,1.754227, Average Z value:,0.324293, Max X values:,0.292437,0.090887, Max Y values:,2.417567,0.779039, Max Z values:,0.292437,0.090887,,,0.97226
Average X value:,0.216316, Average Y value:,1.713215, Average Z value:,0.316316, Max X values:,0.292437,0.075871, Max Y values:,2.417567,0.631569, Max Z values:,0.292437,0.075871,,,0.975946
Average X value:,0.213313, Average Y value:,1.661851, Average Z value:,0.308271, Max X values:,0.292437,0.067204, Max Y values:,2.417567,0.541476, Max Z values:,0.292437,0.067204,,,0.979846
Average X value:,0.204517, Average Y value:,1.596509, Average Z value:,0.299329, Max X values:,0.292437,0.025087, Max Y values:,2.417567,0.467375, Max Z values:,0.292437,0.025087,,,0.983816
Average X value:,0.187603, Average Y value:,1.518702, Average Z value:,0.289031, Max X values:,0.292437,-0.055484, Max Y values:,2.417567,0.414149, Max Z values:,0.292437,-0.055484,,,0.987406
Average X value:,0.170372, Average Y value:,1.429763, Average Z value:,0.278691, Max X values:,0.292437,-0.096502, Max Y values:,2.417567,0.337972, Max Z values:,0.292437,-0.096502,,,0.990793
Average X value:,0.152457, Average Y value:,1.329427, Average Z value:,0.269157, Max X values:,0.292437,-0.099432, Max Y values:,2.417567,0.251053, Max Z values:,0.292437,-0.099432,,,0.994812
Average X value:,0.133388, Average Y value:,1.219142, Average Z value:,0.259788, Max X values:,0.281206,-0.099432, Max Y values:,2.417567,0.169017, Max Z values:,0.281206,-0.099432,,,0.999481
Average X value:,0.113502, Average Y value:,1.103827, Average Z value:,0.250699, Max X values:,0.269365,-0.116523, Max Y values:,2.407557,0.111274, Max Z values:,0.269365,-0.116523,,,1.004481
Average X value:,0.091949, Average Y value:,0.986211, Average Z value:,0.24526, Max X values:,0.269365,-0.165232, Max Y values:,2.331502,0.05524, Max Z values:,0.269365,-0.165232,,,1.009521
Average X value:,0.073729, Average Y value:,0.870103, Average Z value:,0.243966, Max X values:,0.269365,-0.165232, Max Y values:,2.216383,0.009339, Max Z values:,0.269365,-0.165232,,,1.014836
Average X value:,0.057468, Average Y value:,0.757633, Average Z value:,0.24371, Max X values:,0.269365,-0.165232, Max Y values:,2.056827,-0.033022, Max Z values:,0.269365,-0.165232,,,1.020187
Average X value:,0.041738, Average Y value:,0.652542, Average Z value:,0.243704, Max X values:,0.269365,-0.165232, Max Y values:,1.853934,-0.044986, Max Z values:,0.269365,-0.165232,,,1.024873
Average X value:,0.023988, Average Y value:,0.558353, Average Z value:,0.243515, Max X values:,0.269365,-0.165232, Max Y values:,1.645303,-0.044986, Max Z values:,0.269365,-0.165232,,,1.028442
Average X value:,0.007123, Average Y value:,0.477873, Average Z value:,0.236874, Max X values:,0.269365,-0.165232, Max Y values:,1.451932,-0.044986, Max Z values:,0.269365,-0.165232,,,1.031309
Average X value:,-0.009723, Average Y value:,0.410432, Average Z value:,0.225759, Max X values:,0.239822,-0.165232, Max Y values:,1.288592,-0.044986, Max Z values:,0.239822,-0.165232,,,1.033479
Average X value:,-0.024995, Average Y value:,0.355112, Average Z value:,0.215132, Max X values:,0.183056,-0.165232, Max Y values:,1.160044,-0.044986, Max Z values:,0.183056,-0.165232,,,1.035157
Average X value:,-0.03622, Average Y value:,0.309925, Average Z value:,0.210334, Max X values:,0.151315,-0.165232, Max Y values:,1.038577,-0.044986, Max Z values:,0.151315,-0.165232,,,1.036152
Average X value:,-0.046237, Average Y value:,0.27274, Average Z value:,0.213227, Max X values:,0.113715,-0.165232, Max Y values:,0.922969,-0.044986, Max Z values:,0.113715,-0.165232,,,1.036273
Average X value:,-0.050949, Average Y value:,0.247018, Average Z value:,0.221437, Max X values:,0.090887,-0.165232, Max Y values:,0.779039,-0.044986, Max Z values:,0.090887,-0.165232,,,1.035722
Average X value:,-0.051895, Average Y value:,0.235311, Average Z value:,0.229946, Max X values:,0.075871,-0.165232, Max Y values:,0.631569,-0.044986, Max Z values:,0.075871,-0.165232,,,1.034577
Average X value:,-0.052188, Average Y value:,0.236037, Average Z value:,0.233907, Max X values:,0.071965,-0.165232, Max Y values:,0.646097,-0.044986, Max Z values:,0.071965,-0.165232,,,1.032749
Average X value:,-0.05394, Average Y value:,0.245608, Average Z value:,0.235757, Max X values:,0.071965,-0.165232, Max Y values:,0.732894,-0.044986, Max Z values:,0.071965,-0.165232,,,1.030218
Average X value:,-0.053861, Average Y value:,0.266361, Average Z value:,0.238912, Max X values:,0.071965,-0.165232, Max Y values:,0.882439,-0.044986, Max Z values:,0.071965,-0.165232,,,1.027389
Average X value:,-0.042471, Average Y value:,0.299823, Average Z value:,0.247549, Max X values:,0.172313,-0.165232, Max Y values:,1.083379,-0.044986, Max Z values:,0.172313,-0.165232,,,1.024916
Average X value:,-0.026631, Average Y value:,0.344162, Average Z value:,0.261399, Max X values:,0.220289,-0.165232, Max Y values:,1.224745,-0.044986, Max Z values:,0.220289,-0.165232,,,1.022235
Average X value:,-0.010804, Average Y value:,0.39848, Average Z value:,0.278313, Max X values:,0.220289,-0.165232, Max Y values:,1.337423,-0.044986, Max Z values:,0.220289,-0.165232,,,1.01925
Average X value:,0.00362, Average Y value:,0.468419, Average Z value:,0.301111, Max X values:,0.220289,-0.165232, Max Y values:,1.567784,-0.044986, Max Z values:,0.220289,-0.165232,,,1.01556
Average X value:,0.023903, Average Y value:,0.554325, Average Z value:,0.324031, Max X values:,0.289141,-0.165232, Max Y values:,1.829396,-0.044986, Max Z values:,0.289141,-0.165232,,,1.012152
Average X value:,0.044687, Average Y value:,0.650192, Average Z value:,0.342617, Max X values:,0.289141,-0.12104, Max Y values:,1.972594,-0.044986, Max Z values:,0.289141,-0.12104,,,1.009623
Average X value:,0.063358, Average Y value:,0.752609, Average Z value:,0.356553, Max X values:,0.289141,-0.090521, Max Y values:,2.057682,-0.044986, Max Z values:,0.289141,-0.090521,,,1.007723
Average X value:,0.085442, Average Y value:,0.863572, Average Z value:,0.369645, Max X values:,0.351157,-0.090276, Max Y values:,2.18623,-0.044986, Max Z values:,0.351157,-0.090276,,,1.004654
Average X value:,0.110529, Average Y value:,0.978789, Average Z value:,0.380419, Max X values:,0.431484,-0.090276, Max Y values:,2.259354,-0.029848, Max Z values:,0.431484,-0.090276,,,1.000824
Average X value:,0.137716, Average Y value:,1.094995, Average Z value:,0.391485, Max X values:,0.453458,-0.079656, Max Y values:,2.294268,0.035708, Max Z values:,0.453458,-0.079656,,,0.996877
Average X value:,0.157956, Average Y value:,1.201788, Average Z value:,0.397851, Max X values:,0.453458,-0.06757, Max Y values:,2.294268,0.103095, Max Z values:,0.453458,-0.06757,,,0.992414
Average X value:,0.182256, Average Y value:,1.307251, Average Z value:,0.413862, Max X values:,0.453458,-0.065617, Max Y values:,2.294268,0.182201, Max Z values:,0.453458,-0.065617,,,0.985602
Average X value:,0.204566, Average Y value:,1.405921, Average Z value:,0.428212, Max X values:,0.453458,-0.049014, Max Y values:,2.294268,0.256302, Max Z values:,0.453458,-0.049014,,,0.977716
Average X value:,0.224568, Average Y value:,1.494159, Average Z value:,0.437746, Max X values:,0.453458,-0.049014, Max Y values:,2.294268,0.294879, Max Z values:,0.453458,-0.049014,,,0.970091
Average X value:,0.242214, Average Y value:,1.572355, Average Z value:,0.445566, Max X values:,0.453458,0.019471, Max Y values:,2.294268,0.408533, Max Z values:,0.453458,0.019471,,,0.962455
Average X value:,0.254386, Average Y value:,1.636428, Average Z value:,0.450266, Max X values:,0.453458,0.026674, Max Y values:,2.294268,0.544894, Max Z values:,0.453458,0.026674,,,0.954653
Average X value:,0.263682, Average Y value:,1.685729, Average Z value:,0.454801, Max X values:,0.453458,0.026674, Max Y values:,2.294268,0.646097, Max Z values:,0.453458,0.026674,,,0.948083
Average X value:,0.273186, Average Y value:,1.720881, Average Z value:,0.460935, Max X values:,0.453458,0.026674, Max Y values:,2.294268,0.732894, Max Z values:,0.453458,0.026674,,,0.942328
Average X value:,0.285094, Average Y value:,1.743283, Average Z value:,0.466404, Max X values:,0.453458,0.026674, Max Y values:,2.294268,0.882439, Max Z values:,0.453458,0.026674,,,0.936786
Average X value:,0.291522, Average Y value:,1.752603, Average Z value:,0.47006, Max X values:,0.453458,0.155222, Max Y values:,2.294268,1.068852, Max Z values:,0.453458,0.155222,,,0.931463
Average X value:,0.288464, Average Y value:,1.748227, Average Z value:,0.470262, Max X values:,0.453458,0.111152, Max Y values:,2.294268,0.995849, Max Z values:,0.453458,0.111152,,,0.927642
Average X value:,0.282329, Average Y value:,1.732119, Average Z value:,0.466618, Max X values:,0.453458,0.097601, Max Y values:,2.294268,0.902582, Max Z values:,0.453458,0.097601,,,0.925754
Average X value:,0.275218, Average Y value:,1.70426, Average Z value:,0.45947, Max X values:,0.453458,0.074895, Max Y values:,2.294268,0.78026, Max Z values:,0.453458,0.074895,,,0.926006
Average X value:,0.267454, Average Y value:,1.658579, Average Z value:,0.446933, Max X values:,0.453458,0.044253, Max Y values:,2.294268,0.654154, Max Z values:,0.453458,0.044253,,,0.928454
Average X value:,0.25231, Average Y value:,1.595501, Average Z value:,0.432558, Max X values:,0.453458,-0.013734, Max Y values:,2.294268,0.567845, Max Z values:,0.453458,-0.013734,,,0.932386
Average X value:,0.235268, Average Y value:,1.51985, Average Z value:,0.42035, Max X values:,0.453458,-0.090399, Max Y values:,2.294268,0.459562, Max Z values:,0.453458,-0.090399,,,0.93754
Average X value:,0.217372, Average Y value:,1.434725, Average Z value:,0.411982, Max X values:,0.453458,-0.105536, Max Y values:,2.294268,0.355185, Max Z values:,0.453458,-0.105536,,,0.944126
Average X value:,0.194421, Average Y value:,1.33926, Average Z value:,0.405139, Max X values:,0.453458,-0.107856, Max Y values:,2.294268,0.276933, Max Z values:,0.453458,-0.107856,,,0.95149
Average X value:,0.168541, Average Y value:,1.236159, Average Z value:,0.397668, Max X values:,0.453458,-0.107856, Max Y values:,2.294268,0.197339, Max Z values:,0.453458,-0.107856,,,0.959186
Average X value:,0.13984, Average Y value:,1.127779, Average Z value:,0.388781, Max X values:,0.418422,-0.120552, Max Y values:,2.212354,0.126656, Max Z values:,0.418422,-0.120552,,,0.967321
Average X value:,0.117805, Average Y value:,1.023134, Average Z value:,0.383654, Max X values:,0.418422,-0.120552, Max Y values:,2.212354,0.078679, Max Z values:,0.418422,-0.120552,,,0.97524
Average X value:,0.091558, Average Y value:,0.914582, Average Z value:,0.368486, Max X values:,0.380577,-0.120552, Max Y values:,2.155588,0.041323, Max Z values:,0.380577,-0.120552,,,0.982572
Average X value:,0.06793, Average Y value:,0.806586, Average Z value:,0.353116, Max X values:,0.358603,-0.120552, Max Y values:,2.021058,-0.004334, Max Z values:,0.358603,-0.120552,,,0.98919
Average X value:,0.045785, Average Y value:,0.70437, Average Z value:,0.338863, Max X values:,0.303913,-0.120552, Max Y values:,1.858817,-0.023256, Max Z values:,0.303913,-0.120552,,,0.995092
Average X value:,0.027553, Average Y value:,0.610169, Average Z value:,0.323408, Max X values:,0.270341,-0.120552, Max Y values:,1.689984,-0.025209, Max Z values:,0.270341,-0.120552,,,1.000695
Average X value:,0.011426, Average Y value:,0.524599, Average Z value:,0.306104, Max X values:,0.270341,-0.120552, Max Y values:,1.530916,-0.025209, Max Z values:,0.270341,-0.120552,,,1.006401
Average X value:,-0.005524, Average Y value:,0.448697, Average Z value:,0.288085, Max X values:,0.270341,-0.120552, Max Y values:,1.349142,-0.025209, Max Z values:,0.270341,-0.120552,,,1.012124
Average X value:,-0.022121, Average Y value:,0.384472, Average Z value:,0.268461, Max X values:,0.270341,-0.120552, Max Y values:,1.180919,-0.025209, Max Z values:,0.270341,-0.120552,,,1.017882
Average X value:,-0.039266, Average Y value:,0.33417, Average Z value:,0.250296, Max X values:,0.155222,-0.120552, Max Y values:,1.068852,-0.025209, Max Z values:,0.155222,-0.120552,,,1.02354
Average X value:,-0.050034, Average Y value:,0.296118, Average Z value:,0.234151, Max X values:,0.111152,-0.120552, Max Y values:,0.995849,-0.025209, Max Z values:,0.111152,-0.120552,,,1.028657
Average X value:,-0.05875, Average Y value:,0.266654, Average Z value:,0.220192, Max X values:,0.097601,-0.120552, Max Y values:,0.902582,-0.025209, Max Z values:,0.097601,-0.120552,,,1.033929
Average X value:,-0.064665, Average Y value:,0.246231, Average Z value:,0.209638, Max X values:,0.074895,-0.120552, Max Y values:,0.78026,-0.025209, Max Z values:,0.074895,-0.120552,,,1.038995
Average X value:,-0.068486, Average Y value:,0.235818, Average Z value:,0.203644, Max X values:,0.044253,-0.120552, Max Y values:,0.654154,-0.025209, Max Z values:,0.044253,-0.120552,,,1.043609
Average X value:,-0.072319, Average Y value:,0.235518, Average Z value:,0.200696, Max X values:,-0.001526,-0.120552, Max Y values:,0.648172,-0.025209, Max Z values:,-0.001526,-0.120552,,,1.0479
Average X value:,-0.076097, Average Y value:,0.245126, Average Z value:,0.200738, Max X values:,-0.001526,-0.120552, Max Y values:,0.759995,-0.025209, Max Z values:,-0.001526,-0.120552,,,1.051812
Average X value:,-0.072581, Average Y value:,0.270201, Average Z value:,0.202899, Max X values:,-0.001526,-0.120552, Max Y values:,0.961057,-0.025209, Max Z values:,-0.001526,-0.120552,,,1.05508
Average X value:,-0.060282, Average Y value:,0.312183, Average Z value:,0.204999, Max X values:,0.14045,-0.120552, Max Y values:,1.194836,-0.025209, Max Z values:,0.14045,-0.120552,,,1.05708
Average X value:,-0.044638, Average Y value:,0.367295, Average Z value:,0.205744, Max X values:,0.20503,-0.120552, Max Y values:,1.379174,-0.025209, Max Z values:,0.20503,-0.120552,,,1.057494
Average X value:,-0.03334, Average Y value:,0.431099, Average Z value:,0.207294, Max X values:,0.20503,-0.120552, Max Y values:,1.473418,-0.025209, Max Z values:,0.20503,-0.120552,,,1.05641
Average X value:,-0.021663, Average Y value:,0.507093, Average Z value:,0.209675, Max X values:,0.20503,-0.115547, Max Y values:,1.646524,-0.025209, Max Z values:,0.20503,-0.115547,,,1.054111
Average X value:,-0.003888, Average Y value:,0.598999, Average Z value:,0.213996, Max X values:,0.239944,-0.106513, Max Y values:,1.916804,-0.025209, Max Z values:,0.239944,-0.106513,,,1.05109
Average X value:,0.015186, Average Y value:,0.70191, Average Z value:,0.218263, Max X values:,0.27498,-0.091986, Max Y values:,2.099554,-0.025209, Max Z values:,0.27498,-0.091986,,,1.047067
Average X value:,0.033132, Average Y value:,0.81186, Average Z value:,0.223225, Max X values:,0.27498,-0.0893, Max Y values:,2.194653,-0.025209, Max Z values:,0.27498,-0.0893,,,1.041736
Average X value:,0.050272, Average Y value:,0.927571, Average Z value:,0.225758, Max X values:,0.27498,-0.0893, Max Y values:,2.290972,-0.025209, Max Z values:,0.27498,-0.0893,,,1.03629
Average X value:,0.068583, Average Y value:,1.04797, Average Z value:,0.227181, Max X values:,0.3055,-0.0893, Max Y values:,2.382775,-0.021425, Max Z values:,0.3055,-0.0893,,,1.030826
Average X value:,0.084759, Average Y value:,1.169426, Average Z value:,0.229573, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.012879, Max Z values:,0.3055,-0.0893,,,1.025238
Average X value:,0.100055, Average Y value:,1.287621, Average Z value:,0.232167, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.06464, Max Z values:,0.3055,-0.0893,,,1.019464
Average X value:,0.114613, Average Y value:,1.398749, Average Z value:,0.234884, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.174876, Max Z values:,0.3055,-0.0893,,,1.014521
Average X value:,0.128035, Average Y value:,1.494958, Average Z value:,0.238882, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.307819, Max Z values:,0.3055,-0.0893,,,1.01002
Average X value:,0.141738, Average Y value:,1.573949, Average Z value:,0.245285, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.40658, Max Z values:,0.3055,-0.0893,,,1.004854
Average X value:,0.157096, Average Y value:,1.636971, Average Z value:,0.254276, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.49411, Max Z values:,0.3055,-0.0893,,,0.997821
Average X value:,0.17086, Average Y value:,1.686077, Average Z value:,0.262595, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.571995, Max Z values:,0.3055,-0.0893,,,0.990501
Average X value:,0.18275, Average Y value:,1.726112, Average Z value:,0.26713, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.648172, Max Z values:,0.3055,-0.0893,,,0.984127
Average X value:,0.19328, Average Y value:,1.754648, Average Z value:,0.266166, Max X values:,0.3055,-0.0893, Max Y values:,2.407679,0.759995, Max Z values:,0.3055,-0.0893,,,0.978456
Average X value:,0.20445, Average Y value:,1.769975, Average Z value:,0.261863, Max X values:,0.3055,-0.020082, Max Y values:,2.407679,0.961057, Max Z values:,0.3055,-0.020082,,,0.972077
Average X value:,0.210145, Average Y value:,1.767265, Average Z value:,0.254599, Max X values:,0.3055,0.093817, Max Y values:,2.407679,0.906855, Max Z values:,0.3055,0.093817,,,0.966035
Average X value:,0.20691, Average Y value:,1.745926, Average Z value:,0.245901, Max X values:,0.3055,0.075749, Max Y values:,2.407679,0.768052, Max Z values:,0.3055,0.075749,,,0.961787
Average X value:,0.19754, Average Y value:,1.708045, Average Z value:,0.237075, Max X values:,0.3055,0.01764, Max Y values:,2.407679,0.621559, Max Z values:,0.3055,0.01764,,,0.958678
Average X value:,0.189843, Average Y value:,1.659153, Average Z value:,0.232357, Max X values:,0.3055,-0.0141, Max Y values:,2.407679,0.495575, Max Z values:,0.3055,-0.0141,,,0.954885
Average X value:,0.182622, Average Y value:,1.597101, Average Z value:,0.228957, Max X values:,0.3055,-0.031435, Max Y values:,2.407679,0.405481, Max Z values:,0.3055,-0.031435,,,0.949284
Average X value:,0.169377, Average Y value:,1.518739, Average Z value:,0.226747, Max X values:,0.3055,-0.031435, Max Y values:,2.407679,0.34957, Max Z values:,0.3055,-0.031435,,,0.951624
Average X value:,0.152347, Average Y value:,1.428792, Average Z value:,0.223976, Max X values:,0.3055,-0.065617, Max Y values:,2.407679,0.300617, Max Z values:,0.3055,-0.065617,,,0.951909
Average X value:,0.135232, Average Y value:,1.332668, Average Z value:,0.220582, Max X values:,0.3055,-0.075383, Max Y values:,2.407679,0.272172, Max Z values:,0.3055,-0.075383,,,0.953494
Average X value:,0.117243, Average Y value:,1.230226, Average Z value:,0.219471, Max X values:,0.3055,-0.101264, Max Y values:,2.407679,0.242141, Max Z values:,0.3055,-0.101264,,,0.956429
Average X value:,0.09657, Average Y value:,1.121345, Average Z value:,0.220741, Max X values:,0.263871,-0.107978, Max Y values:,2.407679,0.205152, Max Z values:,0.263871,-0.107978,,,0.959912
Average X value:,0.077824, Average Y value:,1.008674, Average Z value:,0.223591, Max X values:,0.254593,-0.11103, Max Y values:,2.376793,0.154245, Max Z values:,0.254593,-0.11103,,,0.964092
Average X value:,0.059006, Average Y value:,0.89588, Average Z value:,0.226802, Max X values:,0.254593,-0.15156, Max Y values:,2.287188,0.120918, Max Z values:,0.254593,-0.15156,,,0.968713
Average X value:,0.040817, Average Y value:,0.786681, Average Z value:,0.230196, Max X values:,0.254593,-0.15156, Max Y values:,2.099066,0.103217, Max Z values:,0.254593,-0.15156,,,0.973055
Average X value:,0.025093, Average Y value:,0.686577, Average Z value:,0.230898, Max X values:,0.254593,-0.15156, Max Y values:,1.887627,0.096991, Max Z values:,0.254593,-0.15156,,,0.977383
Average X value:,0.010285, Average Y value:,0.596411, Average Z value:,0.227113, Max X values:,0.254593,-0.15156, Max Y values:,1.667033,0.084295, Max Z values:,0.254593,-0.15156,,,0.981439
Average X value:,-0.005365, Average Y value:,0.517659, Average Z value:,0.218421, Max X values:,0.254593,-0.15156, Max Y values:,1.476225,0.084295, Max Z values:,0.254593,-0.15156,,,0.985595
Average X value:,-0.022267, Average Y value:,0.450925, Average Z value:,0.208387, Max X values:,0.236282,-0.15156, Max Y values:,1.372703,0.084295, Max Z values:,0.236282,-0.15156,,,0.989731
Average X value:,-0.038729, Average Y value:,0.393341, Average Z value:,0.199133, Max X values:,0.178172,-0.15156, Max Y values:,1.218885,0.084295, Max Z values:,0.178172,-0.15156,,,0.993321
Average X value:,-0.053519, Average Y value:,0.345669, Average Z value:,0.192578, Max X values:,0.134102,-0.15156, Max Y values:,1.066532,0.084295, Max Z values:,0.134102,-0.15156,,,0.996339
Average X value:,-0.065135, Average Y value:,0.30965, Average Z value:,0.187505, Max X values:,0.093817,-0.15156, Max Y values:,0.906855,0.084295, Max Z values:,0.093817,-0.15156,,,0.999327
Average X value:,-0.071403, Average Y value:,0.287731, Average Z value:,0.186205, Max X values:,0.075749,-0.15156, Max Y values:,0.768052,0.084295, Max Z values:,0.075749,-0.15156,,,1.001845
Average X value:,-0.076586, Average Y value:,0.276958, Average Z value:,0.188299, Max X values:,0.01764,-0.15156, Max Y values:,0.621559,0.084295, Max Z values:,0.01764,-0.15156,,,1.004025
Average X value:,-0.080626, Average Y value:,0.278227, Average Z value:,0.192486, Max X values:,-0.0141,-0.15156, Max Y values:,0.646951,0.084295, Max Z values:,-0.0141,-0.15156,,,1.00552
Average X value:,-0.083147, Average Y value:,0.290911, Average Z value:,0.193799, Max X values:,-0.024965,-0.15156, Max Y values:,0.749252,0.084295, Max Z values:,-0.024965,-0.15156,,,1.006939
Average X value:,-0.080864, Average Y value:,0.315333, Average Z value:,0.193988, Max X values:,0.014222,-0.15156, Max Y values:,0.893914,0.084295, Max Z values:,0.014222,-0.15156,,,1.009036
Average X value:,-0.074675, Average Y value:,0.35264, Average Z value:,0.19527, Max X values:,0.098822,-0.15156, Max Y values:,1.095709,0.084295, Max Z values:,0.098822,-0.15156,,,1.011199
Average X value:,-0.063944, Average Y value:,0.398791, Average Z value:,0.202399, Max X values:,0.148996,-0.15156, Max Y values:,1.223646,0.084295, Max Z values:,0.148996,-0.15156,,,1.013115
Average X value:,-0.050046, Average Y value:,0.453653, Average Z value:,0.213654, Max X values:,0.202588,-0.15156, Max Y values:,1.369407,0.084295, Max Z values:,0.202588,-0.15156,,,1.015162
Average X value:,-0.03229, Average Y value:,0.51797, Average Z value:,0.226442, Max X values:,0.253861,-0.15156, Max Y values:,1.528475,0.084295, Max Z values:,0.253861,-0.15156,,,1.017383
Average X value:,-0.012928, Average Y value:,0.592181, Average Z value:,0.239401, Max X values:,0.279253,-0.15156, Max Y values:,1.689373,0.084295, Max Z values:,0.279253,-0.15156,,,1.019778
Average X value:,0.006836, Average Y value:,0.678496, Average Z value:,0.249045, Max X values:,0.284258,-0.15156, Max Y values:,1.880547,0.084295, Max Z values:,0.284258,-0.15156,,,1.022146
Average X value:,0.027974, Average Y value:,0.774138, Average Z value:,0.256125, Max X values:,0.284258,-0.144479, Max Y values:,2.033755,0.084295, Max Z values:,0.284258,-0.144479,,,1.024135
Average X value:,0.050418, Average Y value:,0.879015, Average Z value:,0.263865, Max X values:,0.304401,-0.118599, Max Y values:,2.200757,0.084295, Max Z values:,0.304401,-0.118599,,,1.025769
Average X value:,0.072148, Average Y value:,0.99038, Average Z value:,0.272466, Max X values:,0.315998,-0.117622, Max Y values:,2.3243,0.084295, Max Z values:,0.315998,-0.117622,,,1.027131
Average X value:,0.089776, Average Y value:,1.106324, Average Z value:,0.281963, Max X values:,0.315998,-0.117622, Max Y values:,2.403162,0.091986, Max Z values:,0.315998,-0.117622,,,1.02799
Average X value:,0.103803, Average Y value:,1.221492, Average Z value:,0.2893, Max X values:,0.315998,-0.117622, Max Y values:,2.403162,0.141549, Max Z values:,0.315998,-0.117622,,,1.028324
Average X value:,0.117994, Average Y value:,1.330495, Average Z value:,0.297119, Max X values:,0.315998,-0.117622, Max Y values:,2.403162,0.221022, Max Z values:,0.315998,-0.117622,,,1.0278
Average X value:,0.132821, Average Y value:,1.427364, Average Z value:,0.305524, Max X values:,0.315998,-0.117622, Max Y values:,2.403162,0.265458, Max Z values:,0.315998,-0.117622,,,1.026516
Average X value:,0.147897, Average Y value:,1.511933, Average Z value:,0.315583, Max X values:,0.315998,-0.098212, Max Y values:,2.403162,0.346151, Max Z values:,0.315998,-0.098212,,,1.024732
Average X value:,0.162107, Average Y value:,1.584612, Average Z value:,0.327529, Max X values:,0.315998,-0.064518, Max Y values:,2.403162,0.468473, Max Z values:,0.315998,-0.064518,,,1.022593
