You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,0.03702, Average Y value:,0.984643, Average Z value:,0.229181, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.035678, Average Y value:,0.984362, Average Z value:,0.229771, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.033426, Average Y value:,0.984378, Average Z value:,0.230577, Max X values:,0.53879,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.53879,-0.645486
Average X value:,0.030535, Average Y value:,0.984529, Average Z value:,0.230932, Max X values:,0.507294,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.507294,-0.645486
Average X value:,0.027402, Average Y value:,0.984757, Average Z value:,0.230799, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.025827, Average Y value:,0.984843, Average Z value:,0.23119, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.023047, Average Y value:,0.985115, Average Z value:,0.231119, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.019713, Average Y value:,0.984842, Average Z value:,0.231147, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.016328, Average Y value:,0.98455, Average Z value:,0.23124, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.012723, Average Y value:,0.984668, Average Z value:,0.231201, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.00914, Average Y value:,0.984624, Average Z value:,0.230977, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.005636, Average Y value:,0.984879, Average Z value:,0.231118, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,0.00178, Average Y value:,0.98512, Average Z value:,0.231407, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.002332, Average Y value:,0.984661, Average Z value:,0.231611, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.006619, Average Y value:,0.985307, Average Z value:,0.231844, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.011265, Average Y value:,0.984112, Average Z value:,0.231953, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.016433, Average Y value:,0.983328, Average Z value:,0.232708, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.022279, Average Y value:,0.982849, Average Z value:,0.233834, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.028118, Average Y value:,0.982503, Average Z value:,0.234659, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.033504, Average Y value:,0.982101, Average Z value:,0.236006, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.036546, Average Y value:,0.981514, Average Z value:,0.236284, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.039446, Average Y value:,0.981627, Average Z value:,0.236588, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.041326, Average Y value:,0.981908, Average Z value:,0.236722, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.041626, Average Y value:,0.981587, Average Z value:,0.236791, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.040778, Average Y value:,0.981489, Average Z value:,0.237147, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.038877, Average Y value:,0.981436, Average Z value:,0.237569, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.035676, Average Y value:,0.981217, Average Z value:,0.237621, Max X values:,0.497284,-0.645486, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.645486
Average X value:,-0.031203, Average Y value:,0.980907, Average Z value:,0.236971, Max X values:,0.497284,-0.619239, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.619239
Average X value:,-0.026691, Average Y value:,0.981205, Average Z value:,0.235412, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.597998
Average X value:,-0.022958, Average Y value:,0.981016, Average Z value:,0.2349, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.597998
Average X value:,-0.018557, Average Y value:,0.981285, Average Z value:,0.234614, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.907709, Max Z values:,0.497284,-0.597998
Average X value:,-0.014133, Average Y value:,0.980643, Average Z value:,0.234091, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,-0.010212, Average Y value:,0.980137, Average Z value:,0.233309, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,-0.00625, Average Y value:,0.980704, Average Z value:,0.233137, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,-0.002445, Average Y value:,0.980256, Average Z value:,0.233125, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.001404, Average Y value:,0.980432, Average Z value:,0.23301, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.005551, Average Y value:,0.980417, Average Z value:,0.232814, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.009728, Average Y value:,0.979565, Average Z value:,0.23262, Max X values:,0.497284,-0.597998, Max Y values:,1.083745,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.014229, Average Y value:,0.978233, Average Z value:,0.231855, Max X values:,0.497284,-0.597998, Max Y values:,1.050174,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.018818, Average Y value:,0.979011, Average Z value:,0.231, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.022813, Average Y value:,0.978921, Average Z value:,0.230385, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.026066, Average Y value:,0.978909, Average Z value:,0.230211, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.028215, Average Y value:,0.978618, Average Z value:,0.230428, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.029233, Average Y value:,0.978836, Average Z value:,0.230515, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.028426, Average Y value:,0.979636, Average Z value:,0.230408, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.027745, Average Y value:,0.978968, Average Z value:,0.230682, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.027048, Average Y value:,0.978711, Average Z value:,0.231386, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.026133, Average Y value:,0.978821, Average Z value:,0.232093, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.025052, Average Y value:,0.978995, Average Z value:,0.232558, Max X values:,0.497284,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.497284,-0.597998
Average X value:,0.023456, Average Y value:,0.97868, Average Z value:,0.232363, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.023471, Average Y value:,0.979101, Average Z value:,0.231921, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.022144, Average Y value:,0.979442, Average Z value:,0.231372, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.021049, Average Y value:,0.979524, Average Z value:,0.230297, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.019271, Average Y value:,0.979462, Average Z value:,0.229803, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.017218, Average Y value:,0.979233, Average Z value:,0.230004, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.014591, Average Y value:,0.979657, Average Z value:,0.231164, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.011931, Average Y value:,0.979512, Average Z value:,0.231938, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.0097, Average Y value:,0.979507, Average Z value:,0.231634, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.007889, Average Y value:,0.978675, Average Z value:,0.230982, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.006054, Average Y value:,0.97906, Average Z value:,0.231142, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.004031, Average Y value:,0.978568, Average Z value:,0.231633, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,0.001254, Average Y value:,0.979186, Average Z value:,0.233099, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.001885, Average Y value:,0.979147, Average Z value:,0.234422, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.005252, Average Y value:,0.978628, Average Z value:,0.235299, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.008327, Average Y value:,0.978122, Average Z value:,0.23587, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.011392, Average Y value:,0.977645, Average Z value:,0.236114, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.014056, Average Y value:,0.977181, Average Z value:,0.235626, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.017049, Average Y value:,0.977649, Average Z value:,0.236208, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.020143, Average Y value:,0.977256, Average Z value:,0.237123, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.881829, Max Z values:,0.465544,-0.597998
Average X value:,-0.020914, Average Y value:,0.975869, Average Z value:,0.237635, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.597998
Average X value:,-0.020737, Average Y value:,0.975559, Average Z value:,0.237329, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.597998
Average X value:,-0.019958, Average Y value:,0.975642, Average Z value:,0.236841, Max X values:,0.465544,-0.597998, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.597998
Average X value:,-0.01847, Average Y value:,0.975871, Average Z value:,0.236383, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.01852, Average Y value:,0.976125, Average Z value:,0.236411, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.017491, Average Y value:,0.976577, Average Z value:,0.236323, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.015661, Average Y value:,0.976729, Average Z value:,0.23587, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.013436, Average Y value:,0.977372, Average Z value:,0.235306, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.011249, Average Y value:,0.977639, Average Z value:,0.234801, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.009178, Average Y value:,0.977964, Average Z value:,0.234386, Max X values:,0.465544,-0.571751, Max Y values:,1.053348,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.006944, Average Y value:,0.978757, Average Z value:,0.233864, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.005038, Average Y value:,0.979058, Average Z value:,0.233836, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.002996, Average Y value:,0.979752, Average Z value:,0.233991, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,-0.001162, Average Y value:,0.980475, Average Z value:,0.234159, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.000499, Average Y value:,0.98098, Average Z value:,0.23451, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.001796, Average Y value:,0.98173, Average Z value:,0.234724, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.003283, Average Y value:,0.981991, Average Z value:,0.234881, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.005541, Average Y value:,0.982361, Average Z value:,0.2344, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.007537, Average Y value:,0.982107, Average Z value:,0.23372, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.009903, Average Y value:,0.982363, Average Z value:,0.233089, Max X values:,0.465544,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.465544,-0.571751
Average X value:,0.011552, Average Y value:,0.983347, Average Z value:,0.232868, Max X values:,0.471159,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.471159,-0.571751
Average X value:,0.012816, Average Y value:,0.983329, Average Z value:,0.233006, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.013565, Average Y value:,0.983384, Average Z value:,0.233173, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.013912, Average Y value:,0.983373, Average Z value:,0.23325, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.011417, Average Y value:,0.983173, Average Z value:,0.233612, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.010045, Average Y value:,0.983068, Average Z value:,0.234453, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.008946, Average Y value:,0.983197, Average Z value:,0.235212, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.010623, Average Y value:,0.983103, Average Z value:,0.235572, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.010845, Average Y value:,0.983074, Average Z value:,0.236227, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.010784, Average Y value:,0.982614, Average Z value:,0.236461, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.010021, Average Y value:,0.982367, Average Z value:,0.236723, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.008948, Average Y value:,0.982144, Average Z value:,0.237217, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.007424, Average Y value:,0.981587, Average Z value:,0.237112, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.005829, Average Y value:,0.981279, Average Z value:,0.236944, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.004723, Average Y value:,0.980802, Average Z value:,0.236821, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.003841, Average Y value:,0.980587, Average Z value:,0.236953, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.00292, Average Y value:,0.980646, Average Z value:,0.236861, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.002504, Average Y value:,0.980435, Average Z value:,0.23704, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.00207, Average Y value:,0.980888, Average Z value:,0.236831, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.001281, Average Y value:,0.980592, Average Z value:,0.236443, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,0.000319, Average Y value:,0.980454, Average Z value:,0.235995, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.000903, Average Y value:,0.980356, Average Z value:,0.235705, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.002382, Average Y value:,0.980481, Average Z value:,0.235675, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.00354, Average Y value:,0.979447, Average Z value:,0.236015, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.005002, Average Y value:,0.979419, Average Z value:,0.237036, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.007185, Average Y value:,0.978528, Average Z value:,0.238586, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.009465, Average Y value:,0.978821, Average Z value:,0.240063, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.011109, Average Y value:,0.978954, Average Z value:,0.2403, Max X values:,0.482879,-0.571751, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.571751
Average X value:,-0.012026, Average Y value:,0.979111, Average Z value:,0.239011, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.010903, Average Y value:,0.97927, Average Z value:,0.237843, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.010411, Average Y value:,0.979476, Average Z value:,0.236898, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.012114, Average Y value:,0.979235, Average Z value:,0.237252, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.013056, Average Y value:,0.979309, Average Z value:,0.237213, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.013062, Average Y value:,0.979645, Average Z value:,0.236832, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.012486, Average Y value:,0.979736, Average Z value:,0.236151, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.011645, Average Y value:,0.98005, Average Z value:,0.23531, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.010519, Average Y value:,0.979989, Average Z value:,0.234767, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.008976, Average Y value:,0.980541, Average Z value:,0.234359, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.007713, Average Y value:,0.98092, Average Z value:,0.234432, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.006278, Average Y value:,0.981488, Average Z value:,0.23437, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.004369, Average Y value:,0.981621, Average Z value:,0.23409, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.002445, Average Y value:,0.980986, Average Z value:,0.23396, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,-0.000192, Average Y value:,0.981785, Average Z value:,0.23389, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.00256, Average Y value:,0.982551, Average Z value:,0.233679, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.004971, Average Y value:,0.98257, Average Z value:,0.233176, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.006973, Average Y value:,0.983207, Average Z value:,0.232832, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.00908, Average Y value:,0.983555, Average Z value:,0.233103, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.010753, Average Y value:,0.982974, Average Z value:,0.233233, Max X values:,0.482879,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.482879,-0.595312
Average X value:,0.012313, Average Y value:,0.98344, Average Z value:,0.233658, Max X values:,0.487762,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.487762,-0.595312
Average X value:,0.013408, Average Y value:,0.983863, Average Z value:,0.234195, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.013756, Average Y value:,0.983228, Average Z value:,0.234825, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.012028, Average Y value:,0.982978, Average Z value:,0.235371, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.011302, Average Y value:,0.98303, Average Z value:,0.235616, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.010994, Average Y value:,0.982873, Average Z value:,0.23568, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.010827, Average Y value:,0.982859, Average Z value:,0.235791, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.011896, Average Y value:,0.982594, Average Z value:,0.236264, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.012293, Average Y value:,0.982481, Average Z value:,0.236216, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.011849, Average Y value:,0.982521, Average Z value:,0.23582, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.010864, Average Y value:,0.982208, Average Z value:,0.235352, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.009599, Average Y value:,0.981818, Average Z value:,0.235042, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.008011, Average Y value:,0.98187, Average Z value:,0.235476, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.006613, Average Y value:,0.981848, Average Z value:,0.236006, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.005418, Average Y value:,0.981785, Average Z value:,0.23709, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.004041, Average Y value:,0.981321, Average Z value:,0.237944, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.002979, Average Y value:,0.981719, Average Z value:,0.238249, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.001817, Average Y value:,0.981567, Average Z value:,0.238137, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,0.00072, Average Y value:,0.981398, Average Z value:,0.237788, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.000826, Average Y value:,0.981832, Average Z value:,0.237434, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.003305, Average Y value:,0.981626, Average Z value:,0.237916, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
Average X value:,-0.006656, Average Y value:,0.98241, Average Z value:,0.23885, Max X values:,0.509614,-0.595312, Max Y values:,1.059452,0.873894, Max Z values:,0.509614,-0.595312
