You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,0.065224, Average Y value:,0.986587, Average Z value:,0.221629, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.063508, Average Y value:,0.986206, Average Z value:,0.221668, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.060087, Average Y value:,0.986309, Average Z value:,0.221802, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.054362, Average Y value:,0.985987, Average Z value:,0.222189, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.046547, Average Y value:,0.985994, Average Z value:,0.223209, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.036036, Average Y value:,0.985042, Average Z value:,0.223332, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.023877, Average Y value:,0.98484, Average Z value:,0.223262, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.010286, Average Y value:,0.984877, Average Z value:,0.223635, Max X values:,0.700787,-0.690045, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.690045
Average X value:,-0.003003, Average Y value:,0.984564, Average Z value:,0.225089, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.014032, Average Y value:,0.984137, Average Z value:,0.225386, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.02344, Average Y value:,0.983877, Average Z value:,0.226369, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.032493, Average Y value:,0.983662, Average Z value:,0.227807, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.040912, Average Y value:,0.982774, Average Z value:,0.229202, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.048611, Average Y value:,0.982069, Average Z value:,0.230193, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.055395, Average Y value:,0.981857, Average Z value:,0.231008, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.061044, Average Y value:,0.981889, Average Z value:,0.231733, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.064916, Average Y value:,0.98187, Average Z value:,0.231868, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.067563, Average Y value:,0.982373, Average Z value:,0.232104, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.069056, Average Y value:,0.981876, Average Z value:,0.232706, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.069379, Average Y value:,0.981887, Average Z value:,0.233808, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.068325, Average Y value:,0.982656, Average Z value:,0.234428, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.066016, Average Y value:,0.982545, Average Z value:,0.23469, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.801257
Average X value:,-0.062569, Average Y value:,0.98306, Average Z value:,0.234749, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,-0.0566, Average Y value:,0.983344, Average Z value:,0.234681, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,-0.048908, Average Y value:,0.983554, Average Z value:,0.234929, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
Average X value:,-0.039841, Average Y value:,0.983806, Average Z value:,0.235051, Max X values:,0.700787,-0.801257, Max Y values:,1.092535,0.920527, Max Z values:,0.700787,-0.801257
