You entered a buffer length of 100,x_100,y,y_100_long,,z_100_long,,,,,,,,,,,x_20
Average X value:,-0.001195, Average Y value:,0.984898, Average Z value:,0.215339, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000519
Average X value:,-0.001196, Average Y value:,0.984894, Average Z value:,0.21535, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000543
Average X value:,-0.001193, Average Y value:,0.984888, Average Z value:,0.215332, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000641
Average X value:,-0.001192, Average Y value:,0.984866, Average Z value:,0.215331, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000629
Average X value:,-0.001179, Average Y value:,0.984854, Average Z value:,0.215317, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.00069
Average X value:,-0.001161, Average Y value:,0.984859, Average Z value:,0.215295, Max X values:,0.000549,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000549,-0.003845,,-0.000647
Average X value:,-0.001166, Average Y value:,0.984854, Average Z value:,0.215277, Max X values:,0.000305,-0.003845, Max Y values:,0.987182,0.983031, Max Z values:,0.000305,-0.003845,,-0.000592
Average X value:,-0.001176, Average Y value:,0.984829, Average Z value:,0.215263, Max X values:,0.000305,-0.003845, Max Y values:,0.987182,0.982909, Max Z values:,0.000305,-0.003845,,-0.000519
Average X value:,-0.001151, Average Y value:,0.984834, Average Z value:,0.215282, Max X values:,0.001282,-0.003845, Max Y values:,0.987182,0.982909, Max Z values:,0.001282,-0.003845,,-0.000739
Average X value:,-0.00117, Average Y value:,0.984823, Average Z value:,0.215281, Max X values:,0.001282,-0.003845, Max Y values:,0.987182,0.982909, Max Z values:,0.001282,-0.003845,,-0.000726
Average X value:,-0.001176, Average Y value:,0.984831, Average Z value:,0.215299, Max X values:,0.001282,-0.003845, Max Y values:,0.987182,0.982909, Max Z values:,0.001282,-0.003845,,-0.000732
Average X value:,-0.001167, Average Y value:,0.984805, Average Z value:,0.215296, Max X values:,0.001282,-0.003845, Max Y values:,0.987182,0.981688, Max Z values:,0.001282,-0.003845,,-0.000787
Average X value:,-0.001152, Average Y value:,0.984829, Average Z value:,0.215301, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000659
Average X value:,-0.00116, Average Y value:,0.984828, Average Z value:,0.215289, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000659
Average X value:,-0.001139, Average Y value:,0.984816, Average Z value:,0.215305, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000562
Average X value:,-0.001151, Average Y value:,0.98481, Average Z value:,0.215306, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.00058
Average X value:,-0.001162, Average Y value:,0.984807, Average Z value:,0.215267, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000745
Average X value:,-0.001171, Average Y value:,0.98479, Average Z value:,0.215252, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000812
Average X value:,-0.001179, Average Y value:,0.984777, Average Z value:,0.21524, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000665
Average X value:,-0.001185, Average Y value:,0.984772, Average Z value:,0.215237, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000678
Average X value:,-0.001193, Average Y value:,0.98477, Average Z value:,0.215228, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000757
Average X value:,-0.001195, Average Y value:,0.984793, Average Z value:,0.215251, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000745
Average X value:,-0.001176, Average Y value:,0.984817, Average Z value:,0.215255, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000836
Average X value:,-0.00117, Average Y value:,0.984817, Average Z value:,0.215271, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000812
Average X value:,-0.00114, Average Y value:,0.984821, Average Z value:,0.215268, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000885
Average X value:,-0.001134, Average Y value:,0.984818, Average Z value:,0.215265, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000946
Average X value:,-0.001138, Average Y value:,0.984823, Average Z value:,0.215263, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000842
Average X value:,-0.001132, Average Y value:,0.984831, Average Z value:,0.215279, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000897
Average X value:,-0.001133, Average Y value:,0.984837, Average Z value:,0.215282, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000867
Average X value:,-0.001145, Average Y value:,0.984828, Average Z value:,0.215284, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000775
Average X value:,-0.001138, Average Y value:,0.984843, Average Z value:,0.215316, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000806
Average X value:,-0.001138, Average Y value:,0.984833, Average Z value:,0.215332, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000769
Average X value:,-0.00114, Average Y value:,0.984824, Average Z value:,0.215354, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.000958
Average X value:,-0.001172, Average Y value:,0.984835, Average Z value:,0.215359, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.00105
Average X value:,-0.001188, Average Y value:,0.984831, Average Z value:,0.215333, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.001153
Average X value:,-0.001189, Average Y value:,0.984846, Average Z value:,0.215344, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.001202
Average X value:,-0.001195, Average Y value:,0.984845, Average Z value:,0.215349, Max X values:,0.001282,-0.003601, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003601,,-0.001025
Average X value:,-0.001152, Average Y value:,0.984828, Average Z value:,0.215342, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.000983
Average X value:,-0.001138, Average Y value:,0.984816, Average Z value:,0.215327, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.00116
Average X value:,-0.001162, Average Y value:,0.984817, Average Z value:,0.215333, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.001068
Average X value:,-0.001161, Average Y value:,0.984803, Average Z value:,0.215338, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.001001
Average X value:,-0.001141, Average Y value:,0.984785, Average Z value:,0.215342, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.001062
Average X value:,-0.001127, Average Y value:,0.984772, Average Z value:,0.215335, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001007
Average X value:,-0.001117, Average Y value:,0.984774, Average Z value:,0.215331, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001074
Average X value:,-0.001105, Average Y value:,0.984789, Average Z value:,0.215337, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001025
Average X value:,-0.001084, Average Y value:,0.984798, Average Z value:,0.215328, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001135
Average X value:,-0.001072, Average Y value:,0.984759, Average Z value:,0.215324, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001215
Average X value:,-0.001071, Average Y value:,0.984715, Average Z value:,0.21531, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001282
Average X value:,-0.001076, Average Y value:,0.984724, Average Z value:,0.215295, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001202
Average X value:,-0.001072, Average Y value:,0.984733, Average Z value:,0.21527, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001312
Average X value:,-0.001063, Average Y value:,0.984717, Average Z value:,0.215251, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001318
Average X value:,-0.001054, Average Y value:,0.98472, Average Z value:,0.215251, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001367
Average X value:,-0.00106, Average Y value:,0.984735, Average Z value:,0.215257, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001361
Average X value:,-0.001065, Average Y value:,0.984749, Average Z value:,0.21526, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001294
Average X value:,-0.001054, Average Y value:,0.984738, Average Z value:,0.215259, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001239
Average X value:,-0.001039, Average Y value:,0.98473, Average Z value:,0.215261, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001172
Average X value:,-0.001033, Average Y value:,0.984726, Average Z value:,0.215249, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001264
Average X value:,-0.00103, Average Y value:,0.984743, Average Z value:,0.215237, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001264
Average X value:,-0.001033, Average Y value:,0.984739, Average Z value:,0.215216, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001123
Average X value:,-0.001051, Average Y value:,0.984751, Average Z value:,0.215218, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001172
Average X value:,-0.001069, Average Y value:,0.98473, Average Z value:,0.215223, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001233
Average X value:,-0.001079, Average Y value:,0.984723, Average Z value:,0.215228, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.00127
Average X value:,-0.001078, Average Y value:,0.984728, Average Z value:,0.215223, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001209
Average X value:,-0.001068, Average Y value:,0.984724, Average Z value:,0.215206, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001233
Average X value:,-0.001085, Average Y value:,0.984694, Average Z value:,0.215195, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001123
Average X value:,-0.001078, Average Y value:,0.984696, Average Z value:,0.215202, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001062
Average X value:,-0.001099, Average Y value:,0.984705, Average Z value:,0.215226, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001087
Average X value:,-0.001088, Average Y value:,0.984705, Average Z value:,0.215232, Max X values:,0.001282,-0.002991, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.002991,,-0.001068
Average X value:,-0.001099, Average Y value:,0.984689, Average Z value:,0.215223, Max X values:,0.001282,-0.003235, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003235,,-0.001141
Average X value:,-0.001139, Average Y value:,0.984668, Average Z value:,0.215204, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001093
Average X value:,-0.001145, Average Y value:,0.984673, Average Z value:,0.215219, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001178
Average X value:,-0.001171, Average Y value:,0.984668, Average Z value:,0.215227, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001233
Average X value:,-0.001171, Average Y value:,0.984672, Average Z value:,0.215228, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001282
Average X value:,-0.001152, Average Y value:,0.984669, Average Z value:,0.215232, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001306
Average X value:,-0.00116, Average Y value:,0.984682, Average Z value:,0.215265, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001178
Average X value:,-0.001139, Average Y value:,0.984685, Average Z value:,0.215255, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001178
Average X value:,-0.001144, Average Y value:,0.984695, Average Z value:,0.215229, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001166
Average X value:,-0.001151, Average Y value:,0.984695, Average Z value:,0.215211, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001148
Average X value:,-0.00114, Average Y value:,0.984691, Average Z value:,0.215199, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001294
Average X value:,-0.001143, Average Y value:,0.984689, Average Z value:,0.215199, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001209
Average X value:,-0.001144, Average Y value:,0.984706, Average Z value:,0.21518, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001172
Average X value:,-0.001149, Average Y value:,0.984701, Average Z value:,0.215163, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001221
Average X value:,-0.00114, Average Y value:,0.984704, Average Z value:,0.21518, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001239
Average X value:,-0.00115, Average Y value:,0.984694, Average Z value:,0.215158, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.00119
Average X value:,-0.001162, Average Y value:,0.984702, Average Z value:,0.215145, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001215
Average X value:,-0.001148, Average Y value:,0.984722, Average Z value:,0.215122, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001227
Average X value:,-0.001157, Average Y value:,0.984701, Average Z value:,0.215101, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001105
Average X value:,-0.00115, Average Y value:,0.984694, Average Z value:,0.215133, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000995
Average X value:,-0.001152, Average Y value:,0.984709, Average Z value:,0.215134, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.001025
Average X value:,-0.001173, Average Y value:,0.984698, Average Z value:,0.215152, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000964
Average X value:,-0.001174, Average Y value:,0.984707, Average Z value:,0.215162, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.00094
Average X value:,-0.001171, Average Y value:,0.984705, Average Z value:,0.215169, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000903
Average X value:,-0.001168, Average Y value:,0.984716, Average Z value:,0.215162, Max X values:,0.001282,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.001282,-0.003845,,-0.000836
Average X value:,-0.001151, Average Y value:,0.984702, Average Z value:,0.215162, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000745
Average X value:,-0.00116, Average Y value:,0.984715, Average Z value:,0.215156, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000824
Average X value:,-0.001174, Average Y value:,0.984726, Average Z value:,0.215177, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000855
Average X value:,-0.001174, Average Y value:,0.984743, Average Z value:,0.215168, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000946
Average X value:,-0.001167, Average Y value:,0.984732, Average Z value:,0.215186, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000958
Average X value:,-0.001168, Average Y value:,0.984728, Average Z value:,0.215185, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000891
Average X value:,-0.001156, Average Y value:,0.984732, Average Z value:,0.215202, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001056
Average X value:,-0.001144, Average Y value:,0.984732, Average Z value:,0.215226, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001111
Average X value:,-0.001163, Average Y value:,0.984748, Average Z value:,0.215222, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000995
Average X value:,-0.001156, Average Y value:,0.984756, Average Z value:,0.215211, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001123
Average X value:,-0.001177, Average Y value:,0.984765, Average Z value:,0.215179, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001141
Average X value:,-0.001156, Average Y value:,0.984782, Average Z value:,0.215205, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001135
Average X value:,-0.001163, Average Y value:,0.984759, Average Z value:,0.215201, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.000971
Average X value:,-0.001184, Average Y value:,0.984771, Average Z value:,0.215212, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001032
Average X value:,-0.001177, Average Y value:,0.984778, Average Z value:,0.215226, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001154
Average X value:,-0.00121, Average Y value:,0.984779, Average Z value:,0.215217, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001172
Average X value:,-0.001183, Average Y value:,0.984787, Average Z value:,0.215202, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001294
Average X value:,-0.001165, Average Y value:,0.984795, Average Z value:,0.21518, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.981688, Max Z values:,0.00177,-0.003845,,-0.001258
Average X value:,-0.001177, Average Y value:,0.984827, Average Z value:,0.215161, Max X values:,0.00177,-0.003845, Max Y values:,0.98767,0.982299, Max Z values:,0.00177,-0.003845,,-0.001313
Average X value:,-0.001179, Average Y value:,0.984789, Average Z value:,0.215161, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001313
Average X value:,-0.001187, Average Y value:,0.984805, Average Z value:,0.215177, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001404
Average X value:,-0.001216, Average Y value:,0.984807, Average Z value:,0.215164, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001392
Average X value:,-0.001212, Average Y value:,0.984799, Average Z value:,0.215164, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001349
Average X value:,-0.001217, Average Y value:,0.98479, Average Z value:,0.215169, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001245
Average X value:,-0.001196, Average Y value:,0.984794, Average Z value:,0.215164, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001245
Average X value:,-0.001193, Average Y value:,0.984781, Average Z value:,0.215191, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001294
Average X value:,-0.001195, Average Y value:,0.984765, Average Z value:,0.215172, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001203
Average X value:,-0.001179, Average Y value:,0.984771, Average Z value:,0.215173, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001068
Average X value:,-0.001174, Average Y value:,0.984763, Average Z value:,0.21516, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.001123
Average X value:,-0.001191, Average Y value:,0.984744, Average Z value:,0.215167, Max X values:,0.00177,-0.003845, Max Y values:,0.986938,0.982299, Max Z values:,0.00177,-0.003845,,-0.000971
Average X value:,-0.001184, Average Y value:,0.984777, Average Z value:,0.215157, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.000989
Average X value:,-0.001195, Average Y value:,0.984774, Average Z value:,0.215163, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001074
Average X value:,-0.001204, Average Y value:,0.984787, Average Z value:,0.215184, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001239
Average X value:,-0.001178, Average Y value:,0.984787, Average Z value:,0.215212, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001196
Average X value:,-0.001174, Average Y value:,0.984773, Average Z value:,0.215217, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001221
Average X value:,-0.001179, Average Y value:,0.98479, Average Z value:,0.215208, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001196
Average X value:,-0.00117, Average Y value:,0.984798, Average Z value:,0.215185, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001117
Average X value:,-0.001177, Average Y value:,0.984794, Average Z value:,0.215149, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001172
Average X value:,-0.001155, Average Y value:,0.984778, Average Z value:,0.215111, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001178
Average X value:,-0.001148, Average Y value:,0.984803, Average Z value:,0.215117, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001135
Average X value:,-0.001128, Average Y value:,0.984803, Average Z value:,0.2151, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001074
Average X value:,-0.001143, Average Y value:,0.984823, Average Z value:,0.215125, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.00119
Average X value:,-0.001161, Average Y value:,0.98482, Average Z value:,0.215116, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001154
Average X value:,-0.001181, Average Y value:,0.984831, Average Z value:,0.2151, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001178
Average X value:,-0.001199, Average Y value:,0.984856, Average Z value:,0.2151, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001178
Average X value:,-0.001213, Average Y value:,0.984864, Average Z value:,0.2151, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001044
Average X value:,-0.001194, Average Y value:,0.984877, Average Z value:,0.215101, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001019
Average X value:,-0.00119, Average Y value:,0.984875, Average Z value:,0.215095, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001074
Average X value:,-0.001201, Average Y value:,0.984893, Average Z value:,0.215105, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001142
Average X value:,-0.001166, Average Y value:,0.984888, Average Z value:,0.215114, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001184
Average X value:,-0.001187, Average Y value:,0.984886, Average Z value:,0.215113, Max X values:,0.00177,-0.003845, Max Y values:,0.988158,0.982299, Max Z values:,0.00177,-0.003845,,-0.001148
Average X value:,-0.001217, Average Y value:,0.984837, Average Z value:,0.215111, Max X values:,0.00177,-0.004212, Max Y values:,0.988158,0.979979, Max Z values:,0.00177,-0.004212,,-0.001117
Average X value:,-0.001235, Average Y value:,0.984823, Average Z value:,0.215136, Max X values:,0.00177,-0.004212, Max Y values:,0.988158,0.979979, Max Z values:,0.00177,-0.004212,,-0.001093
