You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.000867, Average Y value:,0.985033, Average Z value:,0.215284, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000775, Average Y value:,0.98507, Average Z value:,0.215364, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000806, Average Y value:,0.985033, Average Z value:,0.215315, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000769, Average Y value:,0.985003, Average Z value:,0.215358, Max X values:,0.001526,-0.002747, Max Y values:,0.98706,0.98352, Max Z values:,0.001526,-0.002747
Average X value:,-0.000958, Average Y value:,0.984899, Average Z value:,0.215303, Max X values:,0.001282,-0.002747, Max Y values:,0.986694,0.98352, Max Z values:,0.001282,-0.002747
Average X value:,-0.00105, Average Y value:,0.984972, Average Z value:,0.215242, Max X values:,0.001282,-0.002747, Max Y values:,0.986694,0.98413, Max Z values:,0.001282,-0.002747
Average X value:,-0.001153, Average Y value:,0.984997, Average Z value:,0.215315, Max X values:,0.001282,-0.002747, Max Y values:,0.986694,0.98413, Max Z values:,0.001282,-0.002747
Average X value:,-0.001202, Average Y value:,0.984917, Average Z value:,0.215266, Max X values:,0.001282,-0.002747, Max Y values:,0.986694,0.984008, Max Z values:,0.001282,-0.002747
Average X value:,-0.001025, Average Y value:,0.984911, Average Z value:,0.21526, Max X values:,0.001282,-0.002625, Max Y values:,0.986694,0.984008, Max Z values:,0.001282,-0.002625
Average X value:,-0.000983, Average Y value:,0.984832, Average Z value:,0.215272, Max X values:,0.001282,-0.002625, Max Y values:,0.986694,0.983031, Max Z values:,0.001282,-0.002625
Average X value:,-0.00116, Average Y value:,0.984887, Average Z value:,0.215284, Max X values:,0.000916,-0.002625, Max Y values:,0.986694,0.983031, Max Z values:,0.000916,-0.002625
Average X value:,-0.001068, Average Y value:,0.984795, Average Z value:,0.215297, Max X values:,0.000916,-0.002625, Max Y values:,0.986694,0.983031, Max Z values:,0.000916,-0.002625
Average X value:,-0.001001, Average Y value:,0.984795, Average Z value:,0.215113, Max X values:,0.000916,-0.002625, Max Y values:,0.986694,0.983031, Max Z values:,0.000916,-0.002625
Average X value:,-0.001062, Average Y value:,0.984716, Average Z value:,0.215095, Max X values:,0.000916,-0.002625, Max Y values:,0.986694,0.982665, Max Z values:,0.000916,-0.002625
Average X value:,-0.001007, Average Y value:,0.984667, Average Z value:,0.215199, Max X values:,0.000916,-0.002625, Max Y values:,0.985961,0.982665, Max Z values:,0.000916,-0.002625
Average X value:,-0.001074, Average Y value:,0.984698, Average Z value:,0.215193, Max X values:,0.000916,-0.002625, Max Y values:,0.985961,0.982665, Max Z values:,0.000916,-0.002625
Average X value:,-0.001025, Average Y value:,0.984655, Average Z value:,0.215211, Max X values:,0.000916,-0.002625, Max Y values:,0.985961,0.982665, Max Z values:,0.000916,-0.002625
Average X value:,-0.001135, Average Y value:,0.984826, Average Z value:,0.21504, Max X values:,0.000916,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000916,-0.002747
Average X value:,-0.001215, Average Y value:,0.98485, Average Z value:,0.214863, Max X values:,0.000916,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000916,-0.002747
Average X value:,-0.001282, Average Y value:,0.98485, Average Z value:,0.214881, Max X values:,0.000916,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000916,-0.002747
Average X value:,-0.001202, Average Y value:,0.984881, Average Z value:,0.214869, Max X values:,0.000916,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000916,-0.002747
Average X value:,-0.001312, Average Y value:,0.984826, Average Z value:,0.214839, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001318, Average Y value:,0.984868, Average Z value:,0.214845, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001367, Average Y value:,0.984801, Average Z value:,0.214851, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001361, Average Y value:,0.984783, Average Z value:,0.214839, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001294, Average Y value:,0.984765, Average Z value:,0.214759, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001239, Average Y value:,0.984801, Average Z value:,0.214655, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001172, Average Y value:,0.984856, Average Z value:,0.214753, Max X values:,0.000793,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000793,-0.002747
Average X value:,-0.001264, Average Y value:,0.984966, Average Z value:,0.214814, Max X values:,-0.000061,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,-0.000061,-0.002747
Average X value:,-0.001264, Average Y value:,0.985082, Average Z value:,0.214753, Max X values:,-0.000061,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,-0.000061,-0.002747
Average X value:,-0.001123, Average Y value:,0.98499, Average Z value:,0.214814, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000549,-0.002747
Average X value:,-0.001172, Average Y value:,0.984948, Average Z value:,0.214857, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000549,-0.002747
Average X value:,-0.001233, Average Y value:,0.984972, Average Z value:,0.2149, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.982665, Max Z values:,0.000549,-0.002747
Average X value:,-0.00127, Average Y value:,0.985021, Average Z value:,0.21493, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.983642, Max Z values:,0.000549,-0.002747
Average X value:,-0.001209, Average Y value:,0.984899, Average Z value:,0.214936, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001233, Average Y value:,0.984966, Average Z value:,0.214961, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001123, Average Y value:,0.984936, Average Z value:,0.214906, Max X values:,0.000549,-0.002747, Max Y values:,0.987548,0.983275, Max Z values:,0.000549,-0.002747
Average X value:,-0.001062, Average Y value:,0.984789, Average Z value:,0.215022, Max X values:,0.000549,-0.002258, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002258
Average X value:,-0.001087, Average Y value:,0.984814, Average Z value:,0.215016, Max X values:,0.000549,-0.002258, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002258
Average X value:,-0.001068, Average Y value:,0.984771, Average Z value:,0.215089, Max X values:,0.000549,-0.002258, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002258
Average X value:,-0.001141, Average Y value:,0.984691, Average Z value:,0.215125, Max X values:,0.000549,-0.002258, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002258
Average X value:,-0.001093, Average Y value:,0.984679, Average Z value:,0.215211, Max X values:,0.000549,-0.002258, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002258
Average X value:,-0.001178, Average Y value:,0.984685, Average Z value:,0.215241, Max X values:,0.000549,-0.002625, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002625
Average X value:,-0.001233, Average Y value:,0.984685, Average Z value:,0.215119, Max X values:,0.000549,-0.002625, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.002625
Average X value:,-0.001282, Average Y value:,0.984667, Average Z value:,0.215186, Max X values:,0.000549,-0.003113, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.003113
Average X value:,-0.001306, Average Y value:,0.98471, Average Z value:,0.215205, Max X values:,0.000549,-0.003113, Max Y values:,0.986449,0.983275, Max Z values:,0.000549,-0.003113
Average X value:,-0.001178, Average Y value:,0.984661, Average Z value:,0.215186, Max X values:,0.001526,-0.003113, Max Y values:,0.986449,0.983275, Max Z values:,0.001526,-0.003113
Average X value:,-0.001178, Average Y value:,0.984466, Average Z value:,0.215156, Max X values:,0.001526,-0.003113, Max Y values:,0.986449,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001166, Average Y value:,0.984368, Average Z value:,0.215138, Max X values:,0.001526,-0.003113, Max Y values:,0.986083,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001148, Average Y value:,0.984337, Average Z value:,0.215089, Max X values:,0.001526,-0.003113, Max Y values:,0.986083,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001294, Average Y value:,0.984392, Average Z value:,0.214948, Max X values:,0.001526,-0.003113, Max Y values:,0.986083,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001209, Average Y value:,0.984588, Average Z value:,0.214924, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001172, Average Y value:,0.984551, Average Z value:,0.215022, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001221, Average Y value:,0.984691, Average Z value:,0.214979, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001239, Average Y value:,0.984697, Average Z value:,0.214991, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.00119, Average Y value:,0.984649, Average Z value:,0.215034, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001215, Average Y value:,0.984765, Average Z value:,0.215113, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001227, Average Y value:,0.984771, Average Z value:,0.215144, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001105, Average Y value:,0.984826, Average Z value:,0.215187, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.000995, Average Y value:,0.984813, Average Z value:,0.215125, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.001025, Average Y value:,0.984948, Average Z value:,0.215174, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.000964, Average Y value:,0.984935, Average Z value:,0.215119, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.00094, Average Y value:,0.984868, Average Z value:,0.215046, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.000903, Average Y value:,0.984893, Average Z value:,0.215132, Max X values:,0.001526,-0.003113, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.003113
Average X value:,-0.000836, Average Y value:,0.984996, Average Z value:,0.215101, Max X values:,0.001526,-0.00238, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.00238
Average X value:,-0.000745, Average Y value:,0.984862, Average Z value:,0.215235, Max X values:,0.001526,-0.00238, Max Y values:,0.987914,0.9812, Max Z values:,0.001526,-0.00238
Average X value:,-0.000824, Average Y value:,0.984942, Average Z value:,0.215229, Max X values:,0.001282,-0.00238, Max Y values:,0.987914,0.9812, Max Z values:,0.001282,-0.00238
Average X value:,-0.000855, Average Y value:,0.985088, Average Z value:,0.215168, Max X values:,0.001282,-0.00238, Max Y values:,0.987914,0.982787, Max Z values:,0.001282,-0.00238
Average X value:,-0.000946, Average Y value:,0.985094, Average Z value:,0.215132, Max X values:,0.001282,-0.002625, Max Y values:,0.987914,0.982787, Max Z values:,0.001282,-0.002625
Average X value:,-0.000958, Average Y value:,0.985155, Average Z value:,0.215199, Max X values:,0.001282,-0.002625, Max Y values:,0.987914,0.982787, Max Z values:,0.001282,-0.002625
Average X value:,-0.000891, Average Y value:,0.985155, Average Z value:,0.215266, Max X values:,0.001282,-0.002625, Max Y values:,0.987914,0.982787, Max Z values:,0.001282,-0.002625
Average X value:,-0.001056, Average Y value:,0.98507, Average Z value:,0.215217, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.001111, Average Y value:,0.985088, Average Z value:,0.215248, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.000995, Average Y value:,0.985045, Average Z value:,0.215223, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.001123, Average Y value:,0.985186, Average Z value:,0.215156, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.001141, Average Y value:,0.985228, Average Z value:,0.215046, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.001135, Average Y value:,0.985247, Average Z value:,0.214961, Max X values:,0.001282,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001282,-0.002991
Average X value:,-0.000971, Average Y value:,0.985222, Average Z value:,0.214949, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001032, Average Y value:,0.985228, Average Z value:,0.214955, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001154, Average Y value:,0.985216, Average Z value:,0.214845, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001172, Average Y value:,0.985119, Average Z value:,0.214814, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001294, Average Y value:,0.985247, Average Z value:,0.214857, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001258, Average Y value:,0.985259, Average Z value:,0.214967, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001313, Average Y value:,0.985259, Average Z value:,0.214906, Max X values:,0.001526,-0.002991, Max Y values:,0.986571,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001313, Average Y value:,0.985296, Average Z value:,0.214973, Max X values:,0.001526,-0.002991, Max Y values:,0.98706,0.982787, Max Z values:,0.001526,-0.002991
Average X value:,-0.001404, Average Y value:,0.985521, Average Z value:,0.21493, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.984008, Max Z values:,0.001526,-0.002991
Average X value:,-0.001392, Average Y value:,0.985448, Average Z value:,0.215034, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.984008, Max Z values:,0.001526,-0.002991
Average X value:,-0.001349, Average Y value:,0.985485, Average Z value:,0.215107, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.984008, Max Z values:,0.001526,-0.002991
Average X value:,-0.001245, Average Y value:,0.985448, Average Z value:,0.215187, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983886, Max Z values:,0.001526,-0.002991
Average X value:,-0.001245, Average Y value:,0.985338, Average Z value:,0.215125, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002991
Average X value:,-0.001294, Average Y value:,0.985332, Average Z value:,0.215168, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002991
Average X value:,-0.001203, Average Y value:,0.98521, Average Z value:,0.215284, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002991
Average X value:,-0.001068, Average Y value:,0.985235, Average Z value:,0.215254, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002991
Average X value:,-0.001123, Average Y value:,0.985229, Average Z value:,0.215302, Max X values:,0.001526,-0.002991, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002991
Average X value:,-0.000971, Average Y value:,0.985192, Average Z value:,0.215492, Max X values:,0.001526,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002503
Average X value:,-0.000989, Average Y value:,0.985149, Average Z value:,0.215528, Max X values:,0.001526,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002503
Average X value:,-0.001074, Average Y value:,0.985021, Average Z value:,0.215559, Max X values:,0.001526,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.001526,-0.002503
Average X value:,-0.001239, Average Y value:,0.985113, Average Z value:,0.215693, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.000183,-0.002503
Average X value:,-0.001196, Average Y value:,0.985137, Average Z value:,0.215724, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.000183,-0.002503
Average X value:,-0.001221, Average Y value:,0.985131, Average Z value:,0.215779, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.000183,-0.002503
Average X value:,-0.001196, Average Y value:,0.985107, Average Z value:,0.21573, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.983764, Max Z values:,0.000183,-0.002503
Average X value:,-0.001117, Average Y value:,0.984972, Average Z value:,0.215779, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.98352, Max Z values:,0.000183,-0.002503
Average X value:,-0.001172, Average Y value:,0.985082, Average Z value:,0.215718, Max X values:,0.000183,-0.002503, Max Y values:,0.987304,0.98352, Max Z values:,0.000183,-0.002503
Average X value:,-0.001178, Average Y value:,0.985125, Average Z value:,0.215852, Max X values:,0.000183,-0.002625, Max Y values:,0.987304,0.98352, Max Z values:,0.000183,-0.002625
Average X value:,-0.001135, Average Y value:,0.985052, Average Z value:,0.215705, Max X values:,0.000183,-0.002625, Max Y values:,0.987304,0.98352, Max Z values:,0.000183,-0.002625
Average X value:,-0.001074, Average Y value:,0.98496, Average Z value:,0.215669, Max X values:,0.000183,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000183,-0.002625
Average X value:,-0.00119, Average Y value:,0.984978, Average Z value:,0.215577, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000061,-0.002625
Average X value:,-0.001154, Average Y value:,0.984924, Average Z value:,0.215577, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000061,-0.002625
Average X value:,-0.001178, Average Y value:,0.985052, Average Z value:,0.215663, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000061,-0.002625
Average X value:,-0.001178, Average Y value:,0.985131, Average Z value:,0.215712, Max X values:,0.000061,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000061,-0.002625
Average X value:,-0.001044, Average Y value:,0.985119, Average Z value:,0.215797, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001019, Average Y value:,0.985223, Average Z value:,0.215858, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001074, Average Y value:,0.985198, Average Z value:,0.215779, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001142, Average Y value:,0.985155, Average Z value:,0.215705, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001184, Average Y value:,0.985125, Average Z value:,0.215516, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001148, Average Y value:,0.985155, Average Z value:,0.215565, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001117, Average Y value:,0.985235, Average Z value:,0.21562, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.001093, Average Y value:,0.985161, Average Z value:,0.215632, Max X values:,0.000671,-0.002625, Max Y values:,0.98706,0.98352, Max Z values:,0.000671,-0.002625
Average X value:,-0.000983, Average Y value:,0.985052, Average Z value:,0.215565, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.98352, Max Z values:,0.002136,-0.002625
Average X value:,-0.000959, Average Y value:,0.984997, Average Z value:,0.215602, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983397, Max Z values:,0.002136,-0.002625
Average X value:,-0.000898, Average Y value:,0.985082, Average Z value:,0.215565, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983397, Max Z values:,0.002136,-0.002625
Average X value:,-0.000946, Average Y value:,0.985149, Average Z value:,0.215522, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983397, Max Z values:,0.002136,-0.002625
Average X value:,-0.000873, Average Y value:,0.984997, Average Z value:,0.215577, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.000769, Average Y value:,0.984929, Average Z value:,0.215583, Max X values:,0.002136,-0.002503, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002503
Average X value:,-0.000782, Average Y value:,0.984936, Average Z value:,0.215534, Max X values:,0.002136,-0.002503, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002503
Average X value:,-0.000916, Average Y value:,0.984881, Average Z value:,0.21551, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.000788, Average Y value:,0.984795, Average Z value:,0.21551, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.0008, Average Y value:,0.984813, Average Z value:,0.215547, Max X values:,0.002136,-0.002625, Max Y values:,0.986449,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.000867, Average Y value:,0.98471, Average Z value:,0.215424, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.000843, Average Y value:,0.984716, Average Z value:,0.215473, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.000977, Average Y value:,0.984758, Average Z value:,0.215369, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001068, Average Y value:,0.984704, Average Z value:,0.215345, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001135, Average Y value:,0.98471, Average Z value:,0.215327, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001062, Average Y value:,0.984752, Average Z value:,0.215424, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001093, Average Y value:,0.984783, Average Z value:,0.215412, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001032, Average Y value:,0.984734, Average Z value:,0.215363, Max X values:,0.002136,-0.002625, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.002625
Average X value:,-0.001142, Average Y value:,0.984722, Average Z value:,0.215363, Max X values:,0.002136,-0.003113, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.003113
Average X value:,-0.00116, Average Y value:,0.984679, Average Z value:,0.215266, Max X values:,0.002136,-0.003113, Max Y values:,0.985839,0.983153, Max Z values:,0.002136,-0.003113
Average X value:,-0.001312, Average Y value:,0.984588, Average Z value:,0.215247, Max X values:,0.000427,-0.003113, Max Y values:,0.985839,0.983031, Max Z values:,0.000427,-0.003113
Average X value:,-0.00127, Average Y value:,0.984679, Average Z value:,0.215217, Max X values:,0.000427,-0.003113, Max Y values:,0.985839,0.983031, Max Z values:,0.000427,-0.003113
Average X value:,-0.001282, Average Y value:,0.984576, Average Z value:,0.21529, Max X values:,0.000427,-0.003113, Max Y values:,0.985717,0.983031, Max Z values:,0.000427,-0.003113
Average X value:,-0.001288, Average Y value:,0.984539, Average Z value:,0.215253, Max X values:,0.000427,-0.003113, Max Y values:,0.985717,0.983031, Max Z values:,0.000427,-0.003113
Average X value:,-0.001349, Average Y value:,0.984624, Average Z value:,0.215107, Max X values:,0.000427,-0.003113, Max Y values:,0.985717,0.983031, Max Z values:,0.000427,-0.003113
Average X value:,-0.001282, Average Y value:,0.984704, Average Z value:,0.215034, Max X values:,0.000793,-0.003113, Max Y values:,0.985717,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001209, Average Y value:,0.984685, Average Z value:,0.215107, Max X values:,0.000793,-0.003113, Max Y values:,0.985717,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001129, Average Y value:,0.984808, Average Z value:,0.215247, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001209, Average Y value:,0.98482, Average Z value:,0.215302, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001203, Average Y value:,0.984887, Average Z value:,0.215315, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001227, Average Y value:,0.984875, Average Z value:,0.215296, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001239, Average Y value:,0.984875, Average Z value:,0.215376, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.00119, Average Y value:,0.984795, Average Z value:,0.215351, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001123, Average Y value:,0.984753, Average Z value:,0.215187, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001111, Average Y value:,0.984783, Average Z value:,0.215162, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001081, Average Y value:,0.984747, Average Z value:,0.215113, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.001026, Average Y value:,0.984728, Average Z value:,0.215187, Max X values:,0.000793,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.000793,-0.003113
Average X value:,-0.000934, Average Y value:,0.984728, Average Z value:,0.215187, Max X values:,0.001892,-0.003113, Max Y values:,0.986816,0.983031, Max Z values:,0.001892,-0.003113
Average X value:,-0.000879, Average Y value:,0.984698, Average Z value:,0.215217, Max X values:,0.001892,-0.002869, Max Y values:,0.986816,0.983031, Max Z values:,0.001892,-0.002869
Average X value:,-0.000855, Average Y value:,0.984728, Average Z value:,0.215132, Max X values:,0.001892,-0.002869, Max Y values:,0.986816,0.983031, Max Z values:,0.001892,-0.002869
