You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.001166, Average Y value:,0.985009, Average Z value:,0.215266, Max X values:,0.00177,-0.004212, Max Y values:,0.988647,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001117, Average Y value:,0.98482, Average Z value:,0.215266, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001117, Average Y value:,0.984911, Average Z value:,0.215241, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001129, Average Y value:,0.984893, Average Z value:,0.215223, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001123, Average Y value:,0.984923, Average Z value:,0.215296, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001166, Average Y value:,0.984911, Average Z value:,0.215229, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001087, Average Y value:,0.985015, Average Z value:,0.21537, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001026, Average Y value:,0.985009, Average Z value:,0.215418, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001117, Average Y value:,0.985107, Average Z value:,0.215406, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.001007, Average Y value:,0.985162, Average Z value:,0.215309, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.000946, Average Y value:,0.985039, Average Z value:,0.215254, Max X values:,0.00177,-0.004212, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.004212
Average X value:,-0.000702, Average Y value:,0.98507, Average Z value:,0.215284, Max X values:,0.00177,-0.00238, Max Y values:,0.987182,0.983031, Max Z values:,0.00177,-0.00238
Average X value:,-0.000537, Average Y value:,0.984954, Average Z value:,0.215241, Max X values:,0.00177,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.00177,-0.00238
Average X value:,-0.000501, Average Y value:,0.985094, Average Z value:,0.215223, Max X values:,0.00177,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.00177,-0.00238
Average X value:,-0.000592, Average Y value:,0.985106, Average Z value:,0.215272, Max X values:,0.001648,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000629, Average Y value:,0.985094, Average Z value:,0.215431, Max X values:,0.001648,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000677, Average Y value:,0.985149, Average Z value:,0.215516, Max X values:,0.001648,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000671, Average Y value:,0.985033, Average Z value:,0.215534, Max X values:,0.001648,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000726, Average Y value:,0.98507, Average Z value:,0.215565, Max X values:,0.001648,-0.00238, Max Y values:,0.986938,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000604, Average Y value:,0.984899, Average Z value:,0.215504, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.983031, Max Z values:,0.001648,-0.00238
Average X value:,-0.000592, Average Y value:,0.98507, Average Z value:,0.215278, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.98352, Max Z values:,0.001648,-0.00238
Average X value:,-0.000574, Average Y value:,0.985149, Average Z value:,0.215303, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.98352, Max Z values:,0.001648,-0.00238
Average X value:,-0.000598, Average Y value:,0.985076, Average Z value:,0.2154, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.98352, Max Z values:,0.001648,-0.00238
Average X value:,-0.00069, Average Y value:,0.985003, Average Z value:,0.215504, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.98352, Max Z values:,0.001648,-0.00238
Average X value:,-0.00061, Average Y value:,0.984887, Average Z value:,0.215388, Max X values:,0.001648,-0.00238, Max Y values:,0.986694,0.982421, Max Z values:,0.001648,-0.00238
Average X value:,-0.000568, Average Y value:,0.984832, Average Z value:,0.215437, Max X values:,0.001648,-0.002136, Max Y values:,0.986694,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.00058, Average Y value:,0.984765, Average Z value:,0.215321, Max X values:,0.001648,-0.002136, Max Y values:,0.986694,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.000647, Average Y value:,0.98474, Average Z value:,0.215241, Max X values:,0.001648,-0.002136, Max Y values:,0.986694,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.00058, Average Y value:,0.984722, Average Z value:,0.215199, Max X values:,0.001648,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.000708, Average Y value:,0.984759, Average Z value:,0.215144, Max X values:,0.001648,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.000757, Average Y value:,0.98482, Average Z value:,0.215205, Max X values:,0.001648,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.000891, Average Y value:,0.984746, Average Z value:,0.215168, Max X values:,0.001648,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001648,-0.002136
Average X value:,-0.001013, Average Y value:,0.984771, Average Z value:,0.215168, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001038,-0.002136
Average X value:,-0.001068, Average Y value:,0.984691, Average Z value:,0.215254, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001038,-0.002136
Average X value:,-0.001068, Average Y value:,0.984655, Average Z value:,0.215241, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982421, Max Z values:,0.001038,-0.002136
Average X value:,-0.001044, Average Y value:,0.984539, Average Z value:,0.215168, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.001038,-0.002136
Average X value:,-0.001007, Average Y value:,0.984557, Average Z value:,0.21518, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.001038,-0.002136
Average X value:,-0.001007, Average Y value:,0.984636, Average Z value:,0.215071, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.001038,-0.002136
Average X value:,-0.000989, Average Y value:,0.984594, Average Z value:,0.215113, Max X values:,0.001038,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.001038,-0.002136
Average X value:,-0.001123, Average Y value:,0.984679, Average Z value:,0.215101, Max X values:,0.000183,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.000183,-0.002136
Average X value:,-0.001154, Average Y value:,0.984496, Average Z value:,0.215241, Max X values:,0.000183,-0.002136, Max Y values:,0.986449,0.982177, Max Z values:,0.000183,-0.002136
Average X value:,-0.001154, Average Y value:,0.984447, Average Z value:,0.215119, Max X values:,0.000183,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000183,-0.002136
Average X value:,-0.001038, Average Y value:,0.984545, Average Z value:,0.215064, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.000922, Average Y value:,0.984618, Average Z value:,0.215064, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.000946, Average Y value:,0.98471, Average Z value:,0.215046, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.000867, Average Y value:,0.984856, Average Z value:,0.215119, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.000885, Average Y value:,0.984765, Average Z value:,0.215211, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.000885, Average Y value:,0.984838, Average Z value:,0.215229, Max X values:,0.000916,-0.002136, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002136
Average X value:,-0.001019, Average Y value:,0.984813, Average Z value:,0.215345, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.000891, Average Y value:,0.98474, Average Z value:,0.215357, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.000964, Average Y value:,0.984746, Average Z value:,0.215272, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.000916, Average Y value:,0.984771, Average Z value:,0.215284, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.000885, Average Y value:,0.984789, Average Z value:,0.215211, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.00094, Average Y value:,0.984838, Average Z value:,0.21518, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.001068, Average Y value:,0.984911, Average Z value:,0.215113, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982177, Max Z values:,0.000916,-0.002869
Average X value:,-0.000964, Average Y value:,0.985039, Average Z value:,0.215205, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982787, Max Z values:,0.000916,-0.002869
Average X value:,-0.000916, Average Y value:,0.985064, Average Z value:,0.215266, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982787, Max Z values:,0.000916,-0.002869
Average X value:,-0.000909, Average Y value:,0.98499, Average Z value:,0.21529, Max X values:,0.000916,-0.002869, Max Y values:,0.986327,0.982787, Max Z values:,0.000916,-0.002869
