You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,-0.414381, Average Y value:,0.975121, Average Z value:,0.232967, Max X values:,0.072453,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.072453,-0.844717,,-0.048841
Average X value:,-0.423512, Average Y value:,0.979955, Average Z value:,0.226064, Max X values:,0.065617,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.065617,-0.844717,,-0.047749
Average X value:,-0.430178, Average Y value:,0.972862, Average Z value:,0.221571, Max X values:,0.026308,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.026308,-0.844717,,-0.045639
Average X value:,-0.431411, Average Y value:,0.976683, Average Z value:,0.222627, Max X values:,0.001648,-0.844717, Max Y values:,1.053836,0.885857, Max Z values:,0.001648,-0.844717,,-0.042116
Average X value:,-0.424477, Average Y value:,0.97299, Average Z value:,0.224135, Max X values:,0.079534,-0.844717, Max Y values:,1.012818,0.885857, Max Z values:,0.079534,-0.844717,,-0.037395
Average X value:,-0.408222, Average Y value:,0.971763, Average Z value:,0.225252, Max X values:,0.141549,-0.844717, Max Y values:,1.012818,0.885857, Max Z values:,0.141549,-0.844717,,-0.03228
Average X value:,-0.38247, Average Y value:,0.971525, Average Z value:,0.225429, Max X values:,0.222121,-0.844717, Max Y values:,1.012818,0.885857, Max Z values:,0.222121,-0.844717,,-0.027968
Average X value:,-0.34639, Average Y value:,0.970225, Average Z value:,0.224568, Max X values:,0.312458,-0.844717, Max Y values:,1.012818,0.885857, Max Z values:,0.312458,-0.844717,,-0.022682
Average X value:,-0.302637, Average Y value:,0.975841, Average Z value:,0.2248, Max X values:,0.3995,-0.844717, Max Y values:,1.012818,0.888665, Max Z values:,0.3995,-0.844717,,-0.016833
Average X value:,-0.248813, Average Y value:,0.976116, Average Z value:,0.225533, Max X values:,0.469206,-0.844717, Max Y values:,1.012818,0.888665, Max Z values:,0.469206,-0.844717,,-0.01039
Average X value:,-0.185613, Average Y value:,0.977983, Average Z value:,0.226747, Max X values:,0.561252,-0.844717, Max Y values:,1.012818,0.888665, Max Z values:,0.561252,-0.844717,,-0.003954
Average X value:,-0.113001, Average Y value:,0.977001, Average Z value:,0.228328, Max X values:,0.652811,-0.844717, Max Y values:,1.012818,0.888665, Max Z values:,0.652811,-0.844717,,0.002597
Average X value:,-0.034517, Average Y value:,0.977123, Average Z value:,0.229634, Max X values:,0.724959,-0.759873, Max Y values:,1.012818,0.888665, Max Z values:,0.724959,-0.759873,,0.008877
Average X value:,0.038357, Average Y value:,0.978923, Average Z value:,0.228468, Max X values:,0.731551,-0.759873, Max Y values:,1.012818,0.888665, Max Z values:,0.731551,-0.759873,,0.014968
Average X value:,0.102716, Average Y value:,0.980065, Average Z value:,0.228273, Max X values:,0.731551,-0.697491, Max Y values:,1.012818,0.888665, Max Z values:,0.731551,-0.697491,,0.020647
Average X value:,0.165739, Average Y value:,0.979888, Average Z value:,0.227071, Max X values:,0.731551,-0.585058, Max Y values:,1.012818,0.888665, Max Z values:,0.731551,-0.585058,,0.025841
Average X value:,0.217823, Average Y value:,0.982464, Average Z value:,0.226259, Max X values:,0.731551,-0.492523, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.492523,,0.030507
Average X value:,0.261393, Average Y value:,0.981591, Average Z value:,0.224916, Max X values:,0.731551,-0.373985, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.373985,,0.034568
Average X value:,0.297382, Average Y value:,0.983727, Average Z value:,0.223756, Max X values:,0.731551,-0.275224, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.275224,,0.035543
Average X value:,0.326662, Average Y value:,0.981957, Average Z value:,0.222792, Max X values:,0.731551,-0.16743, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.16743,,0.036804
Average X value:,0.348154, Average Y value:,0.98026, Average Z value:,0.227754, Max X values:,0.731551,-0.110175, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.110175,,0.037374
Average X value:,0.363328, Average Y value:,0.980529, Average Z value:,0.235366, Max X values:,0.731551,-0.067692, Max Y values:,1.03467,0.888665, Max Z values:,0.731551,-0.067692,,0.037505
Average X value:,0.373778, Average Y value:,0.981945, Average Z value:,0.242788, Max X values:,0.731551,0.001648, Max Y values:,1.03467,0.916987, Max Z values:,0.731551,0.001648,,0.03702
Average X value:,0.379827, Average Y value:,0.978545, Average Z value:,0.246817, Max X values:,0.731551,0.079534, Max Y values:,1.03467,0.916987, Max Z values:,0.731551,0.079534,,0.035678
Average X value:,0.381133, Average Y value:,0.977635, Average Z value:,0.244949, Max X values:,0.731551,0.105658, Max Y values:,1.03467,0.916987, Max Z values:,0.731551,0.105658,,0.033426
Average X value:,0.37542, Average Y value:,0.97896, Average Z value:,0.242202, Max X values:,0.731551,0.027284, Max Y values:,1.03467,0.916987, Max Z values:,0.731551,0.027284,,0.030535
Average X value:,0.361344, Average Y value:,0.975475, Average Z value:,0.238198, Max X values:,0.731551,-0.059391, Max Y values:,1.03467,0.912959, Max Z values:,0.731551,-0.059391,,0.027402
Average X value:,0.338241, Average Y value:,0.975719, Average Z value:,0.236697, Max X values:,0.731551,-0.149606, Max Y values:,1.03467,0.912959, Max Z values:,0.731551,-0.149606,,0.025827
Average X value:,0.308136, Average Y value:,0.974657, Average Z value:,0.236452, Max X values:,0.731551,-0.202588, Max Y values:,1.03467,0.912959, Max Z values:,0.731551,-0.202588,,0.023047
Average X value:,0.272282, Average Y value:,0.977385, Average Z value:,0.234121, Max X values:,0.731551,-0.247879, Max Y values:,1.03467,0.912959, Max Z values:,0.731551,-0.247879,,0.019713
Average X value:,0.227925, Average Y value:,0.979967, Average Z value:,0.231838, Max X values:,0.731551,-0.325887, Max Y values:,1.054569,0.912959, Max Z values:,0.731551,-0.325887,,0.016328
Average X value:,0.174736, Average Y value:,0.983324, Average Z value:,0.232631, Max X values:,0.731551,-0.410975, Max Y values:,1.054569,0.912959, Max Z values:,0.731551,-0.410975,,0.012723
Average X value:,0.113129, Average Y value:,0.982354, Average Z value:,0.23547, Max X values:,0.731551,-0.507172, Max Y values:,1.054569,0.912959, Max Z values:,0.731551,-0.507172,,0.00914
Average X value:,0.047769, Average Y value:,0.978728, Average Z value:,0.239352, Max X values:,0.562962,-0.575658, Max Y values:,1.054569,0.912959, Max Z values:,0.562962,-0.575658,,0.005636
Average X value:,-0.008466, Average Y value:,0.97827, Average Z value:,0.240768, Max X values:,0.562962,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.562962,-0.597388,,0.00178
Average X value:,-0.065989, Average Y value:,0.978691, Average Z value:,0.239767, Max X values:,0.456632,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.456632,-0.597388,,-0.002332
Average X value:,-0.113978, Average Y value:,0.975548, Average Z value:,0.240017, Max X values:,0.378868,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.378868,-0.597388,,-0.006619
Average X value:,-0.158732, Average Y value:,0.975139, Average Z value:,0.239297, Max X values:,0.345785,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.345785,-0.597388,,-0.011265
Average X value:,-0.200232, Average Y value:,0.974327, Average Z value:,0.238235, Max X values:,0.310383,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.310383,-0.597388,,-0.016433
Average X value:,-0.238992, Average Y value:,0.974852, Average Z value:,0.235592, Max X values:,0.262406,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.262406,-0.597388,,-0.022279
Average X value:,-0.271422, Average Y value:,0.977983, Average Z value:,0.228877, Max X values:,0.19331,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.19331,-0.597388,,-0.028118
Average X value:,-0.29776, Average Y value:,0.97664, Average Z value:,0.220692, Max X values:,0.141305,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.141305,-0.597388,,-0.033504
Average X value:,-0.317128, Average Y value:,0.979808, Average Z value:,0.214454, Max X values:,0.122627,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.122627,-0.597388,,-0.036546
Average X value:,-0.332296, Average Y value:,0.984148, Average Z value:,0.20965, Max X values:,0.105658,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.105658,-0.597388,,-0.039446
Average X value:,-0.342959, Average Y value:,0.983752, Average Z value:,0.206922, Max X values:,0.027284,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,0.027284,-0.597388,,-0.041326
Average X value:,-0.348453, Average Y value:,0.984515, Average Z value:,0.206513, Max X values:,-0.059391,-0.597388, Max Y values:,1.054569,0.912959, Max Z values:,-0.059391,-0.597388,,-0.041626
Average X value:,-0.347348, Average Y value:,0.984679, Average Z value:,0.207892, Max X values:,-0.037295,-0.597388, Max Y values:,1.054569,0.916255, Max Z values:,-0.037295,-0.597388,,-0.040778
Average X value:,-0.337258, Average Y value:,0.983898, Average Z value:,0.208735, Max X values:,0.052188,-0.597388, Max Y values:,1.054569,0.916255, Max Z values:,0.052188,-0.597388,,-0.038877
Average X value:,-0.319697, Average Y value:,0.982787, Average Z value:,0.208716, Max X values:,0.14863,-0.597388, Max Y values:,1.054569,0.916255, Max Z values:,0.14863,-0.597388,,-0.035676
Average X value:,-0.294848, Average Y value:,0.981908, Average Z value:,0.210145, Max X values:,0.2491,-0.597388, Max Y values:,1.054569,0.916255, Max Z values:,0.2491,-0.597388,,-0.031203
Average X value:,-0.262693, Average Y value:,0.975212, Average Z value:,0.212366, Max X values:,0.317219,-0.597388, Max Y values:,1.026491,0.916255, Max Z values:,0.317219,-0.597388,,-0.026691
Average X value:,-0.220833, Average Y value:,0.970927, Average Z value:,0.21518, Max X values:,0.426234,-0.597388, Max Y values:,1.025636,0.916255, Max Z values:,0.426234,-0.597388,,-0.022958
Average X value:,-0.170329, Average Y value:,0.97111, Average Z value:,0.216389, Max X values:,0.502899,-0.597388, Max Y values:,1.025636,0.916255, Max Z values:,0.502899,-0.597388,,-0.018557
Average X value:,-0.11302, Average Y value:,0.972484, Average Z value:,0.216731, Max X values:,0.57053,-0.597388, Max Y values:,1.025636,0.916255, Max Z values:,0.57053,-0.597388,,-0.014133
Average X value:,-0.052719, Average Y value:,0.972185, Average Z value:,0.218336, Max X values:,0.608619,-0.587499, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.587499,,-0.010212
Average X value:,0.006897, Average Y value:,0.972758, Average Z value:,0.220735, Max X values:,0.608619,-0.516206, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.516206,,-0.00625
Average X value:,0.054636, Average Y value:,0.972764, Average Z value:,0.222713, Max X values:,0.608619,-0.516206, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.516206,,-0.002445
Average X value:,0.105353, Average Y value:,0.972435, Average Z value:,0.225661, Max X values:,0.608619,-0.484221, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.484221,,0.001404
Average X value:,0.148599, Average Y value:,0.972038, Average Z value:,0.227669, Max X values:,0.608619,-0.464811, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.464811,,0.005551
Average X value:,0.189642, Average Y value:,0.971513, Average Z value:,0.22947, Max X values:,0.608619,-0.386193, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.386193,,0.009728
Average X value:,0.226064, Average Y value:,0.970836, Average Z value:,0.230806, Max X values:,0.608619,-0.333455, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.333455,,0.014229
Average X value:,0.257523, Average Y value:,0.971129, Average Z value:,0.231716, Max X values:,0.608619,-0.246048, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.246048,,0.018818
Average X value:,0.282518, Average Y value:,0.972294, Average Z value:,0.235458, Max X values:,0.608619,-0.180736, Max Y values:,1.025636,0.916255, Max Z values:,0.608619,-0.180736,,0.022813
Average X value:,0.300012, Average Y value:,0.969725, Average Z value:,0.241195, Max X values:,0.608619,-0.107612, Max Y values:,1.015382,0.916255, Max Z values:,0.608619,-0.107612,,0.026066
Average X value:,0.311726, Average Y value:,0.970292, Average Z value:,0.247262, Max X values:,0.608619,-0.082586, Max Y values:,1.015382,0.916255, Max Z values:,0.608619,-0.082586,,0.028215
Average X value:,0.32198, Average Y value:,0.971342, Average Z value:,0.247732, Max X values:,0.608619,-0.037295, Max Y values:,1.015382,0.916255, Max Z values:,0.608619,-0.037295,,0.029233
Average X value:,0.32823, Average Y value:,0.974181, Average Z value:,0.246829, Max X values:,0.608619,0.052188, Max Y values:,1.015382,0.920649, Max Z values:,0.608619,0.052188,,0.028426
Average X value:,0.326076, Average Y value:,0.976366, Average Z value:,0.245425, Max X values:,0.608619,0.009095, Max Y values:,1.015382,0.920649, Max Z values:,0.608619,0.009095,,0.027745
Average X value:,0.315882, Average Y value:,0.976598, Average Z value:,0.244198, Max X values:,0.608619,-0.05524, Max Y values:,1.015382,0.920649, Max Z values:,0.608619,-0.05524,,0.027048
Average X value:,0.296783, Average Y value:,0.975359, Average Z value:,0.24454, Max X values:,0.608619,-0.132882, Max Y values:,1.014527,0.920649, Max Z values:,0.608619,-0.132882,,0.026133
Average X value:,0.270292, Average Y value:,0.978002, Average Z value:,0.244326, Max X values:,0.608619,-0.212598, Max Y values:,1.014527,0.940792, Max Z values:,0.608619,-0.212598,,0.025052
Average X value:,0.236941, Average Y value:,0.979949, Average Z value:,0.241085, Max X values:,0.608619,-0.240798, Max Y values:,1.014527,0.959348, Max Z values:,0.608619,-0.240798,,0.023456
Average X value:,0.195221, Average Y value:,0.981243, Average Z value:,0.238223, Max X values:,0.608619,-0.331502, Max Y values:,1.014527,0.959348, Max Z values:,0.608619,-0.331502,,0.023471
Average X value:,0.145572, Average Y value:,0.982433, Average Z value:,0.236727, Max X values:,0.608619,-0.42245, Max Y values:,1.014527,0.959348, Max Z values:,0.608619,-0.42245,,0.022144
Average X value:,0.090564, Average Y value:,0.983996, Average Z value:,0.235476, Max X values:,0.604834,-0.491546, Max Y values:,1.014527,0.959348, Max Z values:,0.604834,-0.491546,,0.021049
Average X value:,0.032625, Average Y value:,0.983794, Average Z value:,0.234572, Max X values:,0.498138,-0.553928, Max Y values:,1.014527,0.959348, Max Z values:,0.498138,-0.553928,,0.019271
Average X value:,-0.01963, Average Y value:,0.98427, Average Z value:,0.229817, Max X values:,0.498138,-0.593481, Max Y values:,1.014527,0.959348, Max Z values:,0.498138,-0.593481,,0.017218
Average X value:,-0.066886, Average Y value:,0.984325, Average Z value:,0.224983, Max X values:,0.3807,-0.593481, Max Y values:,1.014527,0.959348, Max Z values:,0.3807,-0.593481,,0.014591
Average X value:,-0.111555, Average Y value:,0.985357, Average Z value:,0.223329, Max X values:,0.35604,-0.593481, Max Y values:,1.014527,0.959348, Max Z values:,0.35604,-0.593481,,0.011931
Average X value:,-0.156632, Average Y value:,0.986321, Average Z value:,0.22394, Max X values:,0.342245,-0.593481, Max Y values:,1.014527,0.959348, Max Z values:,0.342245,-0.593481,,0.0097
Average X value:,-0.200293, Average Y value:,0.983727, Average Z value:,0.22657, Max X values:,0.295733,-0.593481, Max Y values:,1.014527,0.951535, Max Z values:,0.295733,-0.593481,,0.007889
Average X value:,-0.240115, Average Y value:,0.985094, Average Z value:,0.228395, Max X values:,0.253861,-0.593481, Max Y values:,1.014527,0.951535, Max Z values:,0.253861,-0.593481,,0.006054
Average X value:,-0.272593, Average Y value:,0.983519, Average Z value:,0.224843, Max X values:,0.169139,-0.593481, Max Y values:,1.014527,0.951535, Max Z values:,0.169139,-0.593481,,0.004031
Average X value:,-0.296246, Average Y value:,0.985613, Average Z value:,0.218269, Max X values:,0.126656,-0.593481, Max Y values:,1.016114,0.951535, Max Z values:,0.126656,-0.593481,,0.001254
Average X value:,-0.313764, Average Y value:,0.988018, Average Z value:,0.214051, Max X values:,0.122505,-0.593481, Max Y values:,1.016114,0.951535, Max Z values:,0.122505,-0.593481,,-0.001885
Average X value:,-0.326326, Average Y value:,0.986529, Average Z value:,0.21142, Max X values:,0.087713,-0.593481, Max Y values:,1.016114,0.951535, Max Z values:,0.087713,-0.593481,,-0.005252
Average X value:,-0.333144, Average Y value:,0.986718, Average Z value:,0.212245, Max X values:,0.009095,-0.593481, Max Y values:,1.016114,0.951535, Max Z values:,0.009095,-0.593481,,-0.008327
Average X value:,-0.332051, Average Y value:,0.982451, Average Z value:,0.215663, Max X values:,0.030947,-0.593481, Max Y values:,1.016114,0.906244, Max Z values:,0.030947,-0.593481,,-0.011392
Average X value:,-0.322749, Average Y value:,0.983, Average Z value:,0.219368, Max X values:,0.130806,-0.593481, Max Y values:,1.016114,0.906244, Max Z values:,0.130806,-0.593481,,-0.014056
Average X value:,-0.304724, Average Y value:,0.981676, Average Z value:,0.22129, Max X values:,0.227614,-0.593481, Max Y values:,1.016114,0.906244, Max Z values:,0.227614,-0.593481,,-0.017049
Average X value:,-0.277519, Average Y value:,0.983983, Average Z value:,0.221699, Max X values:,0.331502,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.331502,-0.593481,,-0.020143
Average X value:,-0.245413, Average Y value:,0.98388, Average Z value:,0.220082, Max X values:,0.401331,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.401331,-0.593481,,-0.020914
Average X value:,-0.205133, Average Y value:,0.983733, Average Z value:,0.219276, Max X values:,0.474089,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.474089,-0.593481,,-0.020737
Average X value:,-0.157676, Average Y value:,0.983257, Average Z value:,0.218135, Max X values:,0.526705,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.526705,-0.593481,,-0.019958
Average X value:,-0.103693, Average Y value:,0.982891, Average Z value:,0.219471, Max X values:,0.58811,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.593481,,-0.01847
Average X value:,-0.046683, Average Y value:,0.981694, Average Z value:,0.222841, Max X values:,0.58811,-0.593481, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.593481,,-0.01852
Average X value:,0.001764, Average Y value:,0.981865, Average Z value:,0.228353, Max X values:,0.58811,-0.545504, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.545504,,-0.017491
Average X value:,0.04581, Average Y value:,0.981639, Average Z value:,0.235073, Max X values:,0.58811,-0.545504, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.545504,,-0.015661
Average X value:,0.093286, Average Y value:,0.981945, Average Z value:,0.23843, Max X values:,0.58811,-0.545504, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.545504,,-0.013436
Average X value:,0.138436, Average Y value:,0.981707, Average Z value:,0.238998, Max X values:,0.58811,-0.530977, Max Y values:,1.019655,0.906244, Max Z values:,0.58811,-0.530977,,-0.011249
Average X value:,0.183733, Average Y value:,0.985448, Average Z value:,0.238564, Max X values:,0.58811,-0.500702, Max Y values:,1.026369,0.906244, Max Z values:,0.58811,-0.500702,,-0.009178
Average X value:,0.227492, Average Y value:,0.983886, Average Z value:,0.237051, Max X values:,0.58811,-0.395715, Max Y values:,1.026369,0.906244, Max Z values:,0.58811,-0.395715,,-0.006944
Average X value:,0.262852, Average Y value:,0.982256, Average Z value:,0.237044, Max X values:,0.58811,-0.303913, Max Y values:,1.026369,0.906244, Max Z values:,0.58811,-0.303913,,-0.005038
Average X value:,0.292706, Average Y value:,0.980284, Average Z value:,0.237728, Max X values:,0.58811,-0.223707, Max Y values:,1.026369,0.906244, Max Z values:,0.58811,-0.223707,,-0.002996
Average X value:,0.316249, Average Y value:,0.977031, Average Z value:,0.237612, Max X values:,0.58811,-0.128731, Max Y values:,1.026369,0.906244, Max Z values:,0.58811,-0.128731,,-0.001162
Average X value:,0.331423, Average Y value:,0.979552, Average Z value:,0.240591, Max X values:,0.58811,-0.048648, Max Y values:,1.035158,0.906244, Max Z values:,0.58811,-0.048648,,0.000499
Average X value:,0.339999, Average Y value:,0.980351, Average Z value:,0.240756, Max X values:,0.58811,0.030947, Max Y values:,1.035158,0.906244, Max Z values:,0.58811,0.030947,,0.001796
Average X value:,0.340548, Average Y value:,0.98377, Average Z value:,0.236831, Max X values:,0.58811,0.041934, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,0.041934,,0.003283
Average X value:,0.331783, Average Y value:,0.984325, Average Z value:,0.234334, Max X values:,0.58811,-0.044497, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.044497,,0.005541
Average X value:,0.314588, Average Y value:,0.985271, Average Z value:,0.231917, Max X values:,0.58811,-0.116279, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.116279,,0.007537
Average X value:,0.288555, Average Y value:,0.985137, Average Z value:,0.232332, Max X values:,0.58811,-0.18916, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.18916,,0.009903
Average X value:,0.255564, Average Y value:,0.98482, Average Z value:,0.232405, Max X values:,0.58811,-0.2585, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.2585,,0.011552
Average X value:,0.21554, Average Y value:,0.984539, Average Z value:,0.233126, Max X values:,0.58811,-0.326375, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.326375,,0.012816
Average X value:,0.169914, Average Y value:,0.985241, Average Z value:,0.235256, Max X values:,0.58811,-0.385827, Max Y values:,1.035158,0.939571, Max Z values:,0.58811,-0.385827,,0.013565
Average X value:,0.116859, Average Y value:,0.983056, Average Z value:,0.236934, Max X values:,0.586278,-0.47299, Max Y values:,1.035158,0.939571, Max Z values:,0.586278,-0.47299,,0.013912
Average X value:,0.059519, Average Y value:,0.983349, Average Z value:,0.238363, Max X values:,0.436855,-0.56052, Max Y values:,1.035158,0.939571, Max Z values:,0.436855,-0.56052,,0.011417
Average X value:,0.009742, Average Y value:,0.982341, Average Z value:,0.23846, Max X values:,0.436855,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.436855,-0.620094,,0.010045
Average X value:,-0.04216, Average Y value:,0.982177, Average Z value:,0.235811, Max X values:,0.436855,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.436855,-0.620094,,0.008946
Average X value:,-0.088195, Average Y value:,0.97957, Average Z value:,0.235097, Max X values:,0.374962,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.374962,-0.620094,,0.010623
Average X value:,-0.131917, Average Y value:,0.979906, Average Z value:,0.234957, Max X values:,0.374962,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.374962,-0.620094,,0.010845
Average X value:,-0.17487, Average Y value:,0.978771, Average Z value:,0.235445, Max X values:,0.374474,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.374474,-0.620094,,0.010784
Average X value:,-0.215303, Average Y value:,0.980034, Average Z value:,0.236855, Max X values:,0.311481,-0.620094, Max Y values:,1.035158,0.939571, Max Z values:,0.311481,-0.620094,,0.010021
Average X value:,-0.248416, Average Y value:,0.982134, Average Z value:,0.235671, Max X values:,0.29317,-0.620094, Max Y values:,1.035158,0.948239, Max Z values:,0.29317,-0.620094,,0.008948
Average X value:,-0.277709, Average Y value:,0.983672, Average Z value:,0.234401, Max X values:,0.247146,-0.620094, Max Y values:,1.035158,0.948239, Max Z values:,0.247146,-0.620094,,0.007424
Average X value:,-0.301886, Average Y value:,0.985375, Average Z value:,0.23442, Max X values:,0.174754,-0.620094, Max Y values:,1.035158,0.950803, Max Z values:,0.174754,-0.620094,,0.005829
Average X value:,-0.318568, Average Y value:,0.982396, Average Z value:,0.236025, Max X values:,0.122871,-0.620094, Max Y values:,1.016969,0.950803, Max Z values:,0.122871,-0.620094,,0.004723
Average X value:,-0.3287, Average Y value:,0.980297, Average Z value:,0.235225, Max X values:,0.041934,-0.620094, Max Y values:,1.016969,0.950803, Max Z values:,0.041934,-0.620094,,0.003841
Average X value:,-0.332686, Average Y value:,0.980193, Average Z value:,0.233779, Max X values:,-0.037783,-0.620094, Max Y values:,1.016969,0.950803, Max Z values:,-0.037783,-0.620094,,0.00292
Average X value:,-0.329775, Average Y value:,0.981359, Average Z value:,0.231386, Max X values:,0.013734,-0.620094, Max Y values:,1.016969,0.950803, Max Z values:,0.013734,-0.620094,,0.002504
Average X value:,-0.320735, Average Y value:,0.981627, Average Z value:,0.232918, Max X values:,0.064518,-0.620094, Max Y values:,1.016969,0.950803, Max Z values:,0.064518,-0.620094,,0.00207
Average X value:,-0.305451, Average Y value:,0.979473, Average Z value:,0.233803, Max X values:,0.116523,-0.620094, Max Y values:,1.007447,0.950803, Max Z values:,0.116523,-0.620094,,0.001281
Average X value:,-0.283855, Average Y value:,0.978661, Average Z value:,0.237807, Max X values:,0.173411,-0.620094, Max Y values:,1.007447,0.950803, Max Z values:,0.173411,-0.620094,,0.000319
Average X value:,-0.254599, Average Y value:,0.976573, Average Z value:,0.240249, Max X values:,0.258744,-0.620094, Max Y values:,1.007447,0.940792, Max Z values:,0.258744,-0.620094,,-0.000903
Average X value:,-0.218336, Average Y value:,0.974303, Average Z value:,0.239431, Max X values:,0.339437,-0.620094, Max Y values:,1.007447,0.940792, Max Z values:,0.339437,-0.620094,,-0.002382
Average X value:,-0.17401, Average Y value:,0.980956, Average Z value:,0.237057, Max X values:,0.413538,-0.620094, Max Y values:,1.084722,0.940792, Max Z values:,0.413538,-0.620094,,-0.00354
Average X value:,-0.121901, Average Y value:,0.981115, Average Z value:,0.232918, Max X values:,0.481658,-0.620094, Max Y values:,1.084722,0.940792, Max Z values:,0.481658,-0.620094,,-0.005002
Average X value:,-0.063676, Average Y value:,0.982409, Average Z value:,0.230049, Max X values:,0.544406,-0.604102, Max Y values:,1.084722,0.940792, Max Z values:,0.544406,-0.604102,,-0.007185
Average X value:,-0.0047, Average Y value:,0.983245, Average Z value:,0.230642, Max X values:,0.575414,-0.516938, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.516938,,-0.009465
Average X value:,0.036294, Average Y value:,0.984441, Average Z value:,0.231063, Max X values:,0.575414,-0.516938, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.516938,,-0.011109
Average X value:,0.083635, Average Y value:,0.984618, Average Z value:,0.232863, Max X values:,0.575414,-0.484099, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.484099,,-0.012026
Average X value:,0.127486, Average Y value:,0.982634, Average Z value:,0.23315, Max X values:,0.575414,-0.43417, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.43417,,-0.010903
Average X value:,0.166221, Average Y value:,0.985949, Average Z value:,0.233297, Max X values:,0.575414,-0.35079, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.35079,,-0.010411
Average X value:,0.200256, Average Y value:,0.985369, Average Z value:,0.234157, Max X values:,0.575414,-0.292681, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.292681,,-0.012114
Average X value:,0.228554, Average Y value:,0.984893, Average Z value:,0.235848, Max X values:,0.575414,-0.236404, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.236404,,-0.013056
Average X value:,0.251114, Average Y value:,0.986065, Average Z value:,0.237338, Max X values:,0.575414,-0.158884, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.158884,,-0.013062
Average X value:,0.269371, Average Y value:,0.985082, Average Z value:,0.236574, Max X values:,0.575414,-0.079778, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.079778,,-0.012486
Average X value:,0.281047, Average Y value:,0.988494, Average Z value:,0.2397, Max X values:,0.575414,-0.037783, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,-0.037783,,-0.011645
Average X value:,0.286809, Average Y value:,0.986999, Average Z value:,0.245236, Max X values:,0.575414,0.013734, Max Y values:,1.084722,0.940792, Max Z values:,0.575414,0.013734,,-0.010519
