You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,-0.3008, Average Y value:,0.988335, Average Z value:,0.192962, Max X values:,0.44125,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.44125,-0.774278,,0.063421
Average X value:,-0.336422, Average Y value:,0.986443, Average Z value:,0.192187, Max X values:,0.341513,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.341513,-0.774278,,0.064972
Average X value:,-0.361784, Average Y value:,0.986809, Average Z value:,0.190716, Max X values:,0.286578,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.286578,-0.774278,,0.065224
Average X value:,-0.378197, Average Y value:,0.987145, Average Z value:,0.187951, Max X values:,0.201001,-0.774278, Max Y values:,1.044192,0.899774, Max Z values:,0.201001,-0.774278,,0.063508
Average X value:,-0.384594, Average Y value:,0.99035, Average Z value:,0.189788, Max X values:,0.076604,-0.774278, Max Y values:,1.044192,0.925288, Max Z values:,0.076604,-0.774278,,0.060087
Average X value:,-0.38001, Average Y value:,0.990185, Average Z value:,0.193213, Max X values:,0.168284,-0.774278, Max Y values:,1.044192,0.925288, Max Z values:,0.168284,-0.774278,,0.054362
Average X value:,-0.36508, Average Y value:,0.991607, Average Z value:,0.196222, Max X values:,0.285357,-0.774278, Max Y values:,1.044192,0.925288, Max Z values:,0.285357,-0.774278,,0.046547
Average X value:,-0.337319, Average Y value:,0.992175, Average Z value:,0.199207, Max X values:,0.437222,-0.774278, Max Y values:,1.044192,0.925288, Max Z values:,0.437222,-0.774278,,0.036036
Average X value:,-0.297418, Average Y value:,0.988048, Average Z value:,0.202307, Max X values:,0.588842,-0.774278, Max Y values:,1.044192,0.925288, Max Z values:,0.588842,-0.774278,,0.023877
Average X value:,-0.247372, Average Y value:,0.984148, Average Z value:,0.204529, Max X values:,0.6898,-0.774278, Max Y values:,1.030642,0.925288, Max Z values:,0.6898,-0.774278,,0.010286
Average X value:,-0.186578, Average Y value:,0.983812, Average Z value:,0.204621, Max X values:,0.771837,-0.774278, Max Y values:,1.030642,0.925288, Max Z values:,0.771837,-0.774278,,-0.003003
Average X value:,-0.117384, Average Y value:,0.986614, Average Z value:,0.201495, Max X values:,0.822255,-0.774278, Max Y values:,1.030642,0.9436, Max Z values:,0.822255,-0.774278,,-0.014032
Average X value:,-0.043979, Average Y value:,0.98933, Average Z value:,0.195373, Max X values:,0.822255,-0.774278, Max Y values:,1.030642,0.9436, Max Z values:,0.822255,-0.774278,,-0.02344
Average X value:,0.027876, Average Y value:,0.989617, Average Z value:,0.199384, Max X values:,0.822255,-0.75206, Max Y values:,1.030642,0.9436, Max Z values:,0.822255,-0.75206,,-0.032493
Average X value:,0.096191, Average Y value:,0.989776, Average Z value:,0.208417, Max X values:,0.822255,-0.721052, Max Y values:,1.030642,0.9436, Max Z values:,0.822255,-0.721052,,-0.040912
Average X value:,0.156858, Average Y value:,0.990875, Average Z value:,0.210682, Max X values:,0.822255,-0.721052, Max Y values:,1.030642,0.9436, Max Z values:,0.822255,-0.721052,,-0.048611
Average X value:,0.215443, Average Y value:,0.990887, Average Z value:,0.21266, Max X values:,0.822255,-0.674052, Max Y values:,1.030886,0.9436, Max Z values:,0.822255,-0.674052,,-0.055395
Average X value:,0.266831, Average Y value:,0.9919, Average Z value:,0.216456, Max X values:,0.822255,-0.575658, Max Y values:,1.030886,0.9436, Max Z values:,0.822255,-0.575658,,-0.061044
Average X value:,0.310895, Average Y value:,0.990612, Average Z value:,0.219978, Max X values:,0.822255,-0.461759, Max Y values:,1.030886,0.9436, Max Z values:,0.822255,-0.461759,,-0.064916
Average X value:,0.345199, Average Y value:,0.991137, Average Z value:,0.226192, Max X values:,0.822255,-0.350913, Max Y values:,1.030886,0.9436, Max Z values:,0.822255,-0.350913,,-0.067563
Average X value:,0.36829, Average Y value:,0.990008, Average Z value:,0.236111, Max X values:,0.822255,-0.271196, Max Y values:,1.030886,0.9436, Max Z values:,0.822255,-0.271196,,-0.069056
