You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.032258, Average Y value:,1.090026, Average Z value:,0.219543, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.0332, Average Y value:,1.093347, Average Z value:,0.215479, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.034203, Average Y value:,1.092791, Average Z value:,0.210184, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.036269, Average Y value:,1.087538, Average Z value:,0.205557, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.038752, Average Y value:,1.079376, Average Z value:,0.202866, Max X values:,0.301227,-0.148386, Max Y values:,2.661844,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.040971, Average Y value:,1.069495, Average Z value:,0.201558, Max X values:,0.301227,-0.148386, Max Y values:,2.58579,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.042782, Average Y value:,1.059488, Average Z value:,0.202066, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.04434, Average Y value:,1.049543, Average Z value:,0.202019, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.045666, Average Y value:,1.03967, Average Z value:,0.201104, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.047521, Average Y value:,1.029854, Average Z value:,0.199532, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.049125, Average Y value:,1.02007, Average Z value:,0.19803, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.049317, Average Y value:,1.010825, Average Z value:,0.197616, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.048332, Average Y value:,1.001941, Average Z value:,0.198071, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.047101, Average Y value:,0.993687, Average Z value:,0.198767, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.046105, Average Y value:,0.986231, Average Z value:,0.199712, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.046355, Average Y value:,0.978083, Average Z value:,0.199825, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.047869, Average Y value:,0.970308, Average Z value:,0.200096, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.047979, Average Y value:,0.962189, Average Z value:,0.200146, Max X values:,0.301227,-0.148386, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.148386
Average X value:,0.04716, Average Y value:,0.954796, Average Z value:,0.200198, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.046335, Average Y value:,0.949194, Average Z value:,0.200537, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.04534, Average Y value:,0.945694, Average Z value:,0.200763, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.044467, Average Y value:,0.943832, Average Z value:,0.201006, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
Average X value:,0.044245, Average Y value:,0.942443, Average Z value:,0.201342, Max X values:,0.301227,-0.182934, Max Y values:,2.472868,-0.152658, Max Z values:,0.301227,-0.182934
