You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,-0.033385, Average Y value:,0.968619, Average Z value:,0.170653, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.034039, Average Y value:,0.97226, Average Z value:,0.171013, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.033776, Average Y value:,0.975946, Average Z value:,0.171319, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.032248, Average Y value:,0.979846, Average Z value:,0.171351, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029936, Average Y value:,0.983816, Average Z value:,0.170576, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.027981, Average Y value:,0.987406, Average Z value:,0.169323, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026641, Average Y value:,0.990793, Average Z value:,0.168578, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026166, Average Y value:,0.994812, Average Z value:,0.169134, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.02618, Average Y value:,0.999481, Average Z value:,0.17032, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026459, Average Y value:,1.004481, Average Z value:,0.171197, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026919, Average Y value:,1.009521, Average Z value:,0.171909, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026846, Average Y value:,1.014836, Average Z value:,0.172127, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026068, Average Y value:,1.020187, Average Z value:,0.172133, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.025194, Average Y value:,1.024873, Average Z value:,0.172205, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.025249, Average Y value:,1.028442, Average Z value:,0.172142, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.026222, Average Y value:,1.031309, Average Z value:,0.171789, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.027431, Average Y value:,1.033479, Average Z value:,0.171213, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028482, Average Y value:,1.035157, Average Z value:,0.170921, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028974, Average Y value:,1.036152, Average Z value:,0.170589, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029231, Average Y value:,1.036273, Average Z value:,0.169909, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029054, Average Y value:,1.035722, Average Z value:,0.168998, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028471, Average Y value:,1.034577, Average Z value:,0.168151, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.0282, Average Y value:,1.032749, Average Z value:,0.167803, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028241, Average Y value:,1.030218, Average Z value:,0.167706, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028523, Average Y value:,1.027389, Average Z value:,0.167326, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029034, Average Y value:,1.024916, Average Z value:,0.167524, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028154, Average Y value:,1.022235, Average Z value:,0.166675, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.027646, Average Y value:,1.01925, Average Z value:,0.165923, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028262, Average Y value:,1.01556, Average Z value:,0.164915, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.028642, Average Y value:,1.012152, Average Z value:,0.163534, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.02793, Average Y value:,1.009623, Average Z value:,0.162371, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.027859, Average Y value:,1.007723, Average Z value:,0.162578, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029537, Average Y value:,1.004654, Average Z value:,0.161389, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.03164, Average Y value:,1.000824, Average Z value:,0.159666, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.032229, Average Y value:,0.996877, Average Z value:,0.156428, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.031665, Average Y value:,0.992414, Average Z value:,0.153471, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.032804, Average Y value:,0.985602, Average Z value:,0.15075, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.033946, Average Y value:,0.977716, Average Z value:,0.148985, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.034134, Average Y value:,0.970091, Average Z value:,0.148947, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.034428, Average Y value:,0.962455, Average Z value:,0.149562, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.036109, Average Y value:,0.954653, Average Z value:,0.149559, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.037379, Average Y value:,0.948083, Average Z value:,0.149261, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038069, Average Y value:,0.942328, Average Z value:,0.14793, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038114, Average Y value:,0.936786, Average Z value:,0.145266, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038821, Average Y value:,0.931463, Average Z value:,0.142245, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.03895, Average Y value:,0.927642, Average Z value:,0.140502, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038523, Average Y value:,0.925754, Average Z value:,0.139404, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038634, Average Y value:,0.926006, Average Z value:,0.137638, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.039415, Average Y value:,0.928454, Average Z value:,0.135321, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.04033, Average Y value:,0.932386, Average Z value:,0.132691, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.040491, Average Y value:,0.93754, Average Z value:,0.129698, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.040516, Average Y value:,0.944126, Average Z value:,0.127061, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.041139, Average Y value:,0.95149, Average Z value:,0.124103, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.042204, Average Y value:,0.959186, Average Z value:,0.121596, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.042545, Average Y value:,0.967321, Average Z value:,0.119353, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.042277, Average Y value:,0.97524, Average Z value:,0.117473, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.041307, Average Y value:,0.982572, Average Z value:,0.115564, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.039686, Average Y value:,0.98919, Average Z value:,0.113868, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.038174, Average Y value:,0.995092, Average Z value:,0.112699, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.037302, Average Y value:,1.000695, Average Z value:,0.112025, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.036733, Average Y value:,1.006401, Average Z value:,0.111926, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.035677, Average Y value:,1.012124, Average Z value:,0.112034, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.033928, Average Y value:,1.017882, Average Z value:,0.112367, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.032323, Average Y value:,1.02354, Average Z value:,0.113193, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.03079, Average Y value:,1.028657, Average Z value:,0.114439, Max X values:,0.312824,-0.246292, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.246292
Average X value:,-0.029112, Average Y value:,1.033929, Average Z value:,0.115971, Max X values:,0.312824,-0.229445, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.229445
Average X value:,-0.02778, Average Y value:,1.038995, Average Z value:,0.11764, Max X values:,0.312824,-0.215895, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.215895
Average X value:,-0.027594, Average Y value:,1.043609, Average Z value:,0.118269, Max X values:,0.312824,-0.215895, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.215895
Average X value:,-0.028652, Average Y value:,1.0479, Average Z value:,0.117707, Max X values:,0.312824,-0.215895, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.215895
Average X value:,-0.030239, Average Y value:,1.051812, Average Z value:,0.116621, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.04523, Max Z values:,0.312824,-0.237258
Average X value:,-0.03161, Average Y value:,1.05508, Average Z value:,0.115459, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.032589, Average Y value:,1.05708, Average Z value:,0.113923, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.033055, Average Y value:,1.057494, Average Z value:,0.112558, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.033027, Average Y value:,1.05641, Average Z value:,0.111881, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.033219, Average Y value:,1.054111, Average Z value:,0.111674, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.033359, Average Y value:,1.05109, Average Z value:,0.111896, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.03419, Average Y value:,1.047067, Average Z value:,0.111802, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035318, Average Y value:,1.041736, Average Z value:,0.111119, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035897, Average Y value:,1.03629, Average Z value:,0.110041, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035305, Average Y value:,1.030826, Average Z value:,0.109421, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035152, Average Y value:,1.025238, Average Z value:,0.108598, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035699, Average Y value:,1.019464, Average Z value:,0.107441, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035893, Average Y value:,1.014521, Average Z value:,0.106241, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.035398, Average Y value:,1.01002, Average Z value:,0.104986, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.036302, Average Y value:,1.004854, Average Z value:,0.103848, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.039633, Average Y value:,0.997821, Average Z value:,0.102146, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.04261, Average Y value:,0.990501, Average Z value:,0.100344, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.042011, Average Y value:,0.984127, Average Z value:,0.099375, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.041782, Average Y value:,0.978456, Average Z value:,0.100188, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.043622, Average Y value:,0.972077, Average Z value:,0.099792, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.04612, Average Y value:,0.966035, Average Z value:,0.098652, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.047092, Average Y value:,0.961787, Average Z value:,0.09734, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.046814, Average Y value:,0.958678, Average Z value:,0.096526, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.047894, Average Y value:,0.954885, Average Z value:,0.095879, Max X values:,0.312824,-0.237258, Max Y values:,2.210401,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.047131, Average Y value:,0.949284, Average Z value:,0.100912, Max X values:,0.312824,-0.237258, Max Y values:,1.935726,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.045736, Average Y value:,0.951624, Average Z value:,0.10404, Max X values:,0.312824,-0.237258, Max Y values:,1.935726,0.107367, Max Z values:,0.312824,-0.237258
Average X value:,-0.046637, Average Y value:,0.951909, Average Z value:,0.101204, Max X values:,0.222731,-0.237258, Max Y values:,1.96417,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.046438, Average Y value:,0.953494, Average Z value:,0.099466, Max X values:,0.222731,-0.237258, Max Y values:,1.998352,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.045669, Average Y value:,0.956429, Average Z value:,0.096979, Max X values:,0.222731,-0.237258, Max Y values:,2.067326,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.045369, Average Y value:,0.959912, Average Z value:,0.09445, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.044854, Average Y value:,0.964092, Average Z value:,0.091375, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.044345, Average Y value:,0.968713, Average Z value:,0.088411, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.044389, Average Y value:,0.973055, Average Z value:,0.085905, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.044729, Average Y value:,0.977383, Average Z value:,0.0839, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.045198, Average Y value:,0.981439, Average Z value:,0.082996, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.045011, Average Y value:,0.985595, Average Z value:,0.083006, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.044129, Average Y value:,0.989731, Average Z value:,0.082645, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.042537, Average Y value:,0.993321, Average Z value:,0.081292, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.040684, Average Y value:,0.996339, Average Z value:,0.079331, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.039575, Average Y value:,0.999327, Average Z value:,0.077395, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.038837, Average Y value:,1.001845, Average Z value:,0.075504, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.037768, Average Y value:,1.004025, Average Z value:,0.07447, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.036325, Average Y value:,1.00552, Average Z value:,0.073779, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.034795, Average Y value:,1.006939, Average Z value:,0.073468, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.03328, Average Y value:,1.009036, Average Z value:,0.073671, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.032702, Average Y value:,1.011199, Average Z value:,0.07439, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.032724, Average Y value:,1.013115, Average Z value:,0.07552, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.032751, Average Y value:,1.015162, Average Z value:,0.076223, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.033037, Average Y value:,1.017383, Average Z value:,0.076677, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.033535, Average Y value:,1.019778, Average Z value:,0.076777, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.034355, Average Y value:,1.022146, Average Z value:,0.076698, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.035377, Average Y value:,1.024135, Average Z value:,0.076252, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.035964, Average Y value:,1.025769, Average Z value:,0.075378, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.107367, Max Z values:,0.222731,-0.237258
Average X value:,-0.036152, Average Y value:,1.027131, Average Z value:,0.07462, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036076, Average Y value:,1.02799, Average Z value:,0.074248, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036242, Average Y value:,1.028324, Average Z value:,0.074275, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036694, Average Y value:,1.0278, Average Z value:,0.074665, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.0369, Average Y value:,1.026516, Average Z value:,0.075322, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036727, Average Y value:,1.024732, Average Z value:,0.075858, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036771, Average Y value:,1.022593, Average Z value:,0.076299, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036936, Average Y value:,1.020002, Average Z value:,0.076754, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037169, Average Y value:,1.017489, Average Z value:,0.077193, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037179, Average Y value:,1.014687, Average Z value:,0.077452, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036782, Average Y value:,1.012326, Average Z value:,0.07746, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036336, Average Y value:,1.009206, Average Z value:,0.077077, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036902, Average Y value:,1.006441, Average Z value:,0.077345, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037235, Average Y value:,1.004534, Average Z value:,0.077634, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037801, Average Y value:,1.002601, Average Z value:,0.078135, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.03887, Average Y value:,1.000317, Average Z value:,0.078098, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.03941, Average Y value:,0.997854, Average Z value:,0.078212, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038262, Average Y value:,0.995832, Average Z value:,0.079042, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037423, Average Y value:,0.992927, Average Z value:,0.080156, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037085, Average Y value:,0.989133, Average Z value:,0.080486, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038835, Average Y value:,0.985186, Average Z value:,0.081528, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038815, Average Y value:,0.983709, Average Z value:,0.084221, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038033, Average Y value:,0.983196, Average Z value:,0.087344, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038188, Average Y value:,0.982251, Average Z value:,0.089907, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.038472, Average Y value:,0.980739, Average Z value:,0.092022, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.037895, Average Y value:,0.979928, Average Z value:,0.093552, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.036529, Average Y value:,0.979806, Average Z value:,0.094171, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.034969, Average Y value:,0.980846, Average Z value:,0.094415, Max X values:,0.222731,-0.237258, Max Y values:,2.085882,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.03351, Average Y value:,0.982809, Average Z value:,0.094967, Max X values:,0.222731,-0.237258, Max Y values:,2.10517,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.032342, Average Y value:,0.985557, Average Z value:,0.095844, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.031267, Average Y value:,0.988841, Average Z value:,0.096241, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.0302, Average Y value:,0.991772, Average Z value:,0.096014, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.028845, Average Y value:,0.994165, Average Z value:,0.095234, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.027322, Average Y value:,0.99607, Average Z value:,0.094842, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
Average X value:,-0.026464, Average Y value:,0.9978, Average Z value:,0.095173, Max X values:,0.222731,-0.237258, Max Y values:,2.150339,0.131905, Max Z values:,0.222731,-0.237258
