time,src,dest,bytes,next,unack,cwnd,ssthresh,send window,rtt,rcw window
58.04173789,10.10.1.2:59230,10.10.2.1:5001,60,0xee37dd6e,0xee36fb2e,21,21,142336,768241,29312
58.05383422,10.10.1.2:59230,10.10.2.1:5001,60,0xee37e316,0xee37067e,21,21,139520,760210,29312
58.06583528,10.10.1.2:59230,10.10.2.1:5001,60,0xee37e8be,0xee3711ce,21,21,140160,751684,29312
58.07773966,10.10.1.2:59230,10.10.2.1:5001,60,0xee37ee66,0xee371d1e,21,21,142848,742724,29312
58.08980259,10.10.1.2:59230,10.10.2.1:5001,60,0xee37f40e,0xee37286e,21,21,145536,735383,29312
58.10190431,10.10.1.2:59230,10.10.2.1:5001,60,0xee37f9b6,0xee3733be,21,21,148224,728460,29312
58.29378628,10.10.1.2:59230,10.10.2.1:5001,60,0xee37ff5e,0xee373f0e,21,21,150912,722403,29312
58.30573828,10.10.1.2:59230,10.10.2.1:5001,60,0xee380506,0xee374a5e,21,21,153600,704102,29312
58.61753766,10.10.1.2:59230,10.10.2.1:5001,60,0xee380aae,0xee3755ae,21,21,156288,688090,29312
58.62946111,10.10.1.2:59230,10.10.2.1:5001,60,0xee381056,0xee3760fe,21,21,158976,686078,29312
58.64149847,10.10.1.2:59230,10.10.2.1:5001,60,0xee3815fe,0xee37779e,21,21,161664,684319,29312
58.65347432,10.10.1.2:59230,10.10.2.1:5001,60,0xee381ba6,0xee3782ee,21,21,164608,682779,29312
58.66552967,10.10.1.2:59230,10.10.2.1:5001,52,0xee38214e,0xee378e3e,21,21,167424,681431,29312
58.67742961,10.10.1.2:59230,10.10.2.1:5001,44,0xee3826f6,0xee37998e,21,21,170368,681753,29312
58.6894426,10.10.1.2:59230,10.10.2.1:5001,32,0xee382c9e,0xee37a4de,21,21,173184,683533,29312
58.70149277,10.10.1.2:59230,10.10.2.1:5001,32,0xee383246,0xee37bb7e,21,21,176128,686592,29312
58.71337839,10.10.1.2:59230,10.10.2.1:5001,32,0xee3837ee,0xee37c126,21,21,179072,690677,29312
58.72544898,10.10.1.2:59230,10.10.2.1:5001,32,0xee383d96,0xee37c6ce,21,21,181888,695738,29312
58.73746217,10.10.1.2:59230,10.10.2.1:5001,32,0xee38433e,0xee37cc76,21,21,184832,700221,29312
58.74942265,10.10.1.2:59230,10.10.2.1:5001,32,0xee3848e6,0xee37d21e,21,21,187776,704141,29312
58.76139667,10.10.1.2:59230,10.10.2.1:5001,32,0xee384e8e,0xee37d7c6,21,21,190592,707559,29312
58.7734101,10.10.1.2:59230,10.10.2.1:5001,32,0xee385436,0xee37dd6e,21,21,193536,710561,29312
58.78541892,10.10.1.2:59230,10.10.2.1:5001,32,0xee3859de,0xee37e316,21,21,196352,713200,29312
58.79744621,10.10.1.2:59230,10.10.2.1:5001,32,0xee385f86,0xee37e8be,21,21,199296,715496,29312
58.80912105,10.10.1.2:59230,10.10.2.1:5001,32,0xee38652e,0xee37ee66,21,21,202240,717509,29312
58.82111616,10.10.1.2:59230,10.10.2.1:5001,32,0xee386ad6,0xee37f40e,21,21,205056,719241,29312
58.83308456,10.10.1.2:59230,10.10.2.1:5001,32,0xee38707e,0xee37f9b6,21,21,208000,720749,29312
59.09693959,10.10.1.2:59230,10.10.2.1:5001,32,0xee387626,0xee37ff5e,21,21,210944,722050,29312
59.10885238,10.10.1.2:59230,10.10.2.1:5001,32,0xee387bce,0xee380506,21,21,213760,732186,29312
59.4209625,10.10.1.2:59230,10.10.2.1:5001,32,0xee388176,0xee380aae,21,21,216704,741050,29312
59.43298495,10.10.1.2:59230,10.10.2.1:5001,32,0xee38871e,0xee381056,21,21,219520,748845,29312
59.44484418,10.10.1.2:59230,10.10.2.1:5001,32,0xee388cc6,0xee3815fe,21,21,222464,755679,29312
59.4568459,10.10.1.2:59230,10.10.2.1:5001,32,0xee389816,0xee381ba6,22,21,225408,761635,29312
59.46888395,10.10.1.2:59230,10.10.2.1:5001,32,0xee389dbe,0xee38214e,22,21,228224,766852,29312
